nom du projet;nom du site;nom de la plateforme;date prélévement;profondeur;profondeur;chlorophylle a strickland-parsons (µg/l);chlorophylle a scor-unesco (µg/l)
Suivi des lacs;Léman;SHL2;23/01/1976;0;0;;0.58
Suivi des lacs;Léman;SHL2;23/01/1976;1;1;;0.603333333
Suivi des lacs;Léman;SHL2;23/01/1976;2;2;;0.62
Suivi des lacs;Léman;SHL2;23/01/1976;3.5;3.5;;0.615
Suivi des lacs;Léman;SHL2;23/01/1976;5;5;;0.58
Suivi des lacs;Léman;SHL2;23/01/1976;7.5;7.5;;0.585
Suivi des lacs;Léman;SHL2;23/01/1976;10;10;;0.6325
Suivi des lacs;Léman;SHL2;23/01/1976;15;15;;0.585
Suivi des lacs;Léman;SHL2;23/01/1976;20;20;;0.575
Suivi des lacs;Léman;SHL2;23/01/1976;30;30;;0.47
Suivi des lacs;Léman;SHL2;23/02/1976;0;0;;0.6325
Suivi des lacs;Léman;SHL2;23/02/1976;1;1;;0.79
Suivi des lacs;Léman;SHL2;23/02/1976;2;2;;0.7075
Suivi des lacs;Léman;SHL2;23/02/1976;3.5;3.5;;0.7375
Suivi des lacs;Léman;SHL2;23/02/1976;5;5;;0.7575
Suivi des lacs;Léman;SHL2;23/02/1976;7.5;7.5;;0.72
Suivi des lacs;Léman;SHL2;23/02/1976;10;10;;0.6475
Suivi des lacs;Léman;SHL2;23/02/1976;15;15;;0.5975
Suivi des lacs;Léman;SHL2;23/02/1976;20;20;;0.5425
Suivi des lacs;Léman;SHL2;23/02/1976;30;30;;0.4475
Suivi des lacs;Léman;SHL2;23/03/1976;0;0;;5.745
Suivi des lacs;Léman;SHL2;23/03/1976;1;1;;6.2175
Suivi des lacs;Léman;SHL2;23/03/1976;2;2;;1.666666667
Suivi des lacs;Léman;SHL2;23/03/1976;3.5;3.5;;5.735
Suivi des lacs;Léman;SHL2;23/03/1976;5;5;;5.8525
Suivi des lacs;Léman;SHL2;23/03/1976;7.5;7.5;;6.1725
Suivi des lacs;Léman;SHL2;23/03/1976;10;10;;6.1175
Suivi des lacs;Léman;SHL2;23/03/1976;15;15;;5.17
Suivi des lacs;Léman;SHL2;23/03/1976;20;20;;1.965
Suivi des lacs;Léman;SHL2;23/03/1976;30;30;;1.1675
Suivi des lacs;Léman;SHL2;23/04/1976;0;0;;3.144
Suivi des lacs;Léman;SHL2;23/04/1976;1;1;;3.423333333
Suivi des lacs;Léman;SHL2;23/04/1976;2;2;;4.22
Suivi des lacs;Léman;SHL2;23/04/1976;3.5;3.5;;4.9925
Suivi des lacs;Léman;SHL2;23/04/1976;5;5;;4.348
Suivi des lacs;Léman;SHL2;23/04/1976;7.5;7.5;;5.066
Suivi des lacs;Léman;SHL2;23/04/1976;10;10;;4.692
Suivi des lacs;Léman;SHL2;23/04/1976;15;15;;3.358
Suivi des lacs;Léman;SHL2;23/04/1976;20;20;;2.932
Suivi des lacs;Léman;SHL2;23/04/1976;30;30;;2.4325
Suivi des lacs;Léman;SHL2;23/05/1976;0;0;;7.296
Suivi des lacs;Léman;SHL2;23/05/1976;1;1;;8.498
Suivi des lacs;Léman;SHL2;23/05/1976;2;2;;9.548
Suivi des lacs;Léman;SHL2;23/05/1976;3.5;3.5;;9.716
Suivi des lacs;Léman;SHL2;23/05/1976;5;5;;9.438
Suivi des lacs;Léman;SHL2;23/05/1976;7.5;7.5;;7.8
Suivi des lacs;Léman;SHL2;23/05/1976;10;10;;6.064
Suivi des lacs;Léman;SHL2;23/05/1976;15;15;;5.462
Suivi des lacs;Léman;SHL2;23/05/1976;20;20;;4.212
Suivi des lacs;Léman;SHL2;23/05/1976;30;30;;1.475
Suivi des lacs;Léman;SHL2;23/06/1976;0;0;;7.08
Suivi des lacs;Léman;SHL2;23/06/1976;1;1;;8.88
Suivi des lacs;Léman;SHL2;23/06/1976;2;2;;10.518
Suivi des lacs;Léman;SHL2;23/06/1976;3.5;3.5;;9.34
Suivi des lacs;Léman;SHL2;23/06/1976;5;5;;6.004
Suivi des lacs;Léman;SHL2;23/06/1976;7.5;7.5;;2.4
Suivi des lacs;Léman;SHL2;23/06/1976;10;10;;1.758
Suivi des lacs;Léman;SHL2;23/06/1976;15;15;;0.872
Suivi des lacs;Léman;SHL2;23/06/1976;20;20;;0.75
Suivi des lacs;Léman;SHL2;23/06/1976;30;30;;0.28
Suivi des lacs;Léman;SHL2;23/07/1976;0;0;;9.996
Suivi des lacs;Léman;SHL2;23/07/1976;1;1;;12.086
Suivi des lacs;Léman;SHL2;23/07/1976;2;2;;13.284
Suivi des lacs;Léman;SHL2;23/07/1976;3.5;3.5;;16.5
Suivi des lacs;Léman;SHL2;23/07/1976;5;5;;14.384
Suivi des lacs;Léman;SHL2;23/07/1976;7.5;7.5;;9.132
Suivi des lacs;Léman;SHL2;23/07/1976;10;10;;9.236
Suivi des lacs;Léman;SHL2;23/07/1976;15;15;;7.508
Suivi des lacs;Léman;SHL2;23/07/1976;20;20;;2.392
Suivi des lacs;Léman;SHL2;23/07/1976;30;30;;1.0975
Suivi des lacs;Léman;SHL2;23/08/1976;0;0;;5.22
Suivi des lacs;Léman;SHL2;23/08/1976;1;1;;6.414
Suivi des lacs;Léman;SHL2;23/08/1976;2;2;;6.65
Suivi des lacs;Léman;SHL2;23/08/1976;3.5;3.5;;8.038
Suivi des lacs;Léman;SHL2;23/08/1976;5;5;;8.222
Suivi des lacs;Léman;SHL2;23/08/1976;7.5;7.5;;6.354
Suivi des lacs;Léman;SHL2;23/08/1976;10;10;;4.36
Suivi des lacs;Léman;SHL2;23/08/1976;15;15;;2.312
Suivi des lacs;Léman;SHL2;23/08/1976;20;20;;1.268
Suivi des lacs;Léman;SHL2;23/08/1976;30;30;;0.5875
Suivi des lacs;Léman;SHL2;23/09/1976;0;0;;5.632
Suivi des lacs;Léman;SHL2;23/09/1976;1;1;;6.052
Suivi des lacs;Léman;SHL2;23/09/1976;2;2;;6.056
Suivi des lacs;Léman;SHL2;23/09/1976;3.5;3.5;;6.262
Suivi des lacs;Léman;SHL2;23/09/1976;5;5;;6.934
Suivi des lacs;Léman;SHL2;23/09/1976;7.5;7.5;;6.576
Suivi des lacs;Léman;SHL2;23/09/1976;10;10;;7.884
Suivi des lacs;Léman;SHL2;23/09/1976;15;15;;5.03
Suivi des lacs;Léman;SHL2;23/09/1976;20;20;;2.974
Suivi des lacs;Léman;SHL2;23/09/1976;30;30;;1.6775
Suivi des lacs;Léman;SHL2;23/10/1976;0;0;;5.824
Suivi des lacs;Léman;SHL2;23/10/1976;1;1;;5.81
Suivi des lacs;Léman;SHL2;23/10/1976;2;2;;5.9
Suivi des lacs;Léman;SHL2;23/10/1976;3.5;3.5;;5.992
Suivi des lacs;Léman;SHL2;23/10/1976;5;5;;5.978
Suivi des lacs;Léman;SHL2;23/10/1976;7.5;7.5;;6.37
Suivi des lacs;Léman;SHL2;23/10/1976;10;10;;6.294
Suivi des lacs;Léman;SHL2;23/10/1976;15;15;;4.462
Suivi des lacs;Léman;SHL2;23/10/1976;20;20;;3.018
Suivi des lacs;Léman;SHL2;23/10/1976;30;30;;1.3775
Suivi des lacs;Léman;SHL2;23/11/1976;0;0;;4.0125
Suivi des lacs;Léman;SHL2;23/11/1976;1;1;;4.445
Suivi des lacs;Léman;SHL2;23/11/1976;2;2;;4.505
Suivi des lacs;Léman;SHL2;23/11/1976;3.5;3.5;;4.2925
Suivi des lacs;Léman;SHL2;23/11/1976;5;5;;4.6
Suivi des lacs;Léman;SHL2;23/11/1976;7.5;7.5;;3.9025
Suivi des lacs;Léman;SHL2;23/11/1976;10;10;;3.965
Suivi des lacs;Léman;SHL2;23/11/1976;15;15;;3.1225
Suivi des lacs;Léman;SHL2;23/11/1976;20;20;;2.255
Suivi des lacs;Léman;SHL2;23/11/1976;30;30;;1.1875
Suivi des lacs;Léman;SHL2;23/12/1976;0;0;;2.276
Suivi des lacs;Léman;SHL2;23/12/1976;1;1;;2.165
Suivi des lacs;Léman;SHL2;23/12/1976;2;2;;2.288
Suivi des lacs;Léman;SHL2;23/12/1976;3.5;3.5;;2.414
Suivi des lacs;Léman;SHL2;23/12/1976;5;5;;2.358
Suivi des lacs;Léman;SHL2;23/12/1976;7.5;7.5;;2.32
Suivi des lacs;Léman;SHL2;23/12/1976;10;10;;2.208
Suivi des lacs;Léman;SHL2;23/12/1976;15;15;;2.116
Suivi des lacs;Léman;SHL2;23/12/1976;20;20;;1.946
Suivi des lacs;Léman;SHL2;23/12/1976;30;30;;1.5925
Suivi des lacs;Léman;SHL2;23/01/1981;0;0;;0.6925
Suivi des lacs;Léman;SHL2;23/01/1981;1;1;;0.7475
Suivi des lacs;Léman;SHL2;23/01/1981;2;2;;0.765
Suivi des lacs;Léman;SHL2;23/01/1981;3.5;3.5;;0.8
Suivi des lacs;Léman;SHL2;23/01/1981;5;5;;0.7575
Suivi des lacs;Léman;SHL2;23/01/1981;7.5;7.5;;0.8025
Suivi des lacs;Léman;SHL2;23/01/1981;10;10;;0.7525
Suivi des lacs;Léman;SHL2;23/01/1981;15;15;;0.7325
Suivi des lacs;Léman;SHL2;23/01/1981;20;20;;0.6675
Suivi des lacs;Léman;SHL2;23/01/1981;30;30;;0.555
Suivi des lacs;Léman;SHL2;23/02/1981;0;0;;0.85
Suivi des lacs;Léman;SHL2;23/02/1981;1;1;;1.125
Suivi des lacs;Léman;SHL2;23/02/1981;2;2;;1.1425
Suivi des lacs;Léman;SHL2;23/02/1981;3.5;3.5;;1.1725
Suivi des lacs;Léman;SHL2;23/02/1981;5;5;;1.1525
Suivi des lacs;Léman;SHL2;23/02/1981;7.5;7.5;;1.19
Suivi des lacs;Léman;SHL2;23/02/1981;10;10;;1.0125
Suivi des lacs;Léman;SHL2;23/02/1981;15;15;;0.8075
Suivi des lacs;Léman;SHL2;23/02/1981;20;20;;0.64
Suivi des lacs;Léman;SHL2;23/02/1981;30;30;;0.53
Suivi des lacs;Léman;SHL2;23/03/1981;0;0;;1.487272727
Suivi des lacs;Léman;SHL2;23/03/1981;1;1;;1.526363636
Suivi des lacs;Léman;SHL2;23/03/1981;2;2;;1.618181818
Suivi des lacs;Léman;SHL2;23/03/1981;3.5;3.5;;1.622727273
Suivi des lacs;Léman;SHL2;23/03/1981;5;5;;1.692727273
Suivi des lacs;Léman;SHL2;23/03/1981;7.5;7.5;;1.661818182
Suivi des lacs;Léman;SHL2;23/03/1981;10;10;;1.607272727
Suivi des lacs;Léman;SHL2;23/03/1981;15;15;;1.537272727
Suivi des lacs;Léman;SHL2;23/03/1981;20;20;;1.455454545
Suivi des lacs;Léman;SHL2;23/03/1981;30;30;;1.19
Suivi des lacs;Léman;SHL2;23/04/1981;0;0;;6.97
Suivi des lacs;Léman;SHL2;23/04/1981;1;1;;7.191
Suivi des lacs;Léman;SHL2;23/04/1981;2;2;;7.783
Suivi des lacs;Léman;SHL2;23/04/1981;3.5;3.5;;7.941
Suivi des lacs;Léman;SHL2;23/04/1981;5;5;;7.379
Suivi des lacs;Léman;SHL2;23/04/1981;7.5;7.5;;6.618
Suivi des lacs;Léman;SHL2;23/04/1981;10;10;;5.963
Suivi des lacs;Léman;SHL2;23/04/1981;15;15;;4.989
Suivi des lacs;Léman;SHL2;23/04/1981;20;20;;4.043
Suivi des lacs;Léman;SHL2;23/04/1981;30;30;;2.302
Suivi des lacs;Léman;SHL2;23/05/1981;0;0;;14.148
Suivi des lacs;Léman;SHL2;23/05/1981;1;1;;17.136
Suivi des lacs;Léman;SHL2;23/05/1981;2;2;;18.911
Suivi des lacs;Léman;SHL2;23/05/1981;3.5;3.5;;16.394
Suivi des lacs;Léman;SHL2;23/05/1981;5;5;;13.375
Suivi des lacs;Léman;SHL2;23/05/1981;7.5;7.5;;9.39
Suivi des lacs;Léman;SHL2;23/05/1981;10;10;;7.462
Suivi des lacs;Léman;SHL2;23/05/1981;15;15;;4.28
Suivi des lacs;Léman;SHL2;23/05/1981;20;20;;4.129
Suivi des lacs;Léman;SHL2;23/05/1981;30;30;;3.521
Suivi des lacs;Léman;SHL2;23/06/1981;0;0;;4.133
Suivi des lacs;Léman;SHL2;23/06/1981;1;1;;4.22
Suivi des lacs;Léman;SHL2;23/06/1981;2;2;;4.089
Suivi des lacs;Léman;SHL2;23/06/1981;3.5;3.5;;4.132
Suivi des lacs;Léman;SHL2;23/06/1981;5;5;;3.896
Suivi des lacs;Léman;SHL2;23/06/1981;7.5;7.5;;3.028
Suivi des lacs;Léman;SHL2;23/06/1981;10;10;;2.423
Suivi des lacs;Léman;SHL2;23/06/1981;15;15;;1.982
Suivi des lacs;Léman;SHL2;23/06/1981;20;20;;0.82
Suivi des lacs;Léman;SHL2;23/06/1981;30;30;;0.544444444
Suivi des lacs;Léman;SHL2;23/07/1981;0;0;;6.628
Suivi des lacs;Léman;SHL2;23/07/1981;1;1;;8.409
Suivi des lacs;Léman;SHL2;23/07/1981;2;2;;10.147
Suivi des lacs;Léman;SHL2;23/07/1981;3.5;3.5;;13.147
Suivi des lacs;Léman;SHL2;23/07/1981;5;5;;13.425
Suivi des lacs;Léman;SHL2;23/07/1981;7.5;7.5;;12.924
Suivi des lacs;Léman;SHL2;23/07/1981;10;10;;8.445
Suivi des lacs;Léman;SHL2;23/07/1981;15;15;;2.441
Suivi des lacs;Léman;SHL2;23/07/1981;20;20;;1.303
Suivi des lacs;Léman;SHL2;23/07/1981;30;30;;0.73
Suivi des lacs;Léman;SHL2;23/08/1981;0;0;;5.443
Suivi des lacs;Léman;SHL2;23/08/1981;1;1;;6.388888889
Suivi des lacs;Léman;SHL2;23/08/1981;2;2;;7.038888889
Suivi des lacs;Léman;SHL2;23/08/1981;3.5;3.5;;9.238
Suivi des lacs;Léman;SHL2;23/08/1981;5;5;;9.226
Suivi des lacs;Léman;SHL2;23/08/1981;7.5;7.5;;8.228
Suivi des lacs;Léman;SHL2;23/08/1981;10;10;;8.628
Suivi des lacs;Léman;SHL2;23/08/1981;15;15;;5.07
Suivi des lacs;Léman;SHL2;23/08/1981;20;20;;2.555
Suivi des lacs;Léman;SHL2;23/08/1981;30;30;;1.424
Suivi des lacs;Léman;SHL2;23/09/1981;0;0;;7.452222222
Suivi des lacs;Léman;SHL2;23/09/1981;1;1;;8.348888889
Suivi des lacs;Léman;SHL2;23/09/1981;2;2;;9.09
Suivi des lacs;Léman;SHL2;23/09/1981;3.5;3.5;;9.514444444
Suivi des lacs;Léman;SHL2;23/09/1981;5;5;;8.988888889
Suivi des lacs;Léman;SHL2;23/09/1981;7.5;7.5;;9.237777778
Suivi des lacs;Léman;SHL2;23/09/1981;10;10;;8.157777778
Suivi des lacs;Léman;SHL2;23/09/1981;15;15;;4.525555556
Suivi des lacs;Léman;SHL2;23/09/1981;20;20;;2.423333333
Suivi des lacs;Léman;SHL2;23/09/1981;30;30;;0.825555556
Suivi des lacs;Léman;SHL2;23/10/1981;0;0;;6.123
Suivi des lacs;Léman;SHL2;23/10/1981;1;1;;6.954
Suivi des lacs;Léman;SHL2;23/10/1981;2;2;;6.942
Suivi des lacs;Léman;SHL2;23/10/1981;3.5;3.5;;6.824
Suivi des lacs;Léman;SHL2;23/10/1981;5;5;;6.618
Suivi des lacs;Léman;SHL2;23/10/1981;7.5;7.5;;6.182
Suivi des lacs;Léman;SHL2;23/10/1981;10;10;;5.246
Suivi des lacs;Léman;SHL2;23/10/1981;15;15;;4.086
Suivi des lacs;Léman;SHL2;23/10/1981;20;20;;3.093
Suivi des lacs;Léman;SHL2;23/10/1981;30;30;;1.546
Suivi des lacs;Léman;SHL2;23/11/1981;0;0;;4.797777778
Suivi des lacs;Léman;SHL2;23/11/1981;1;1;;5.161111111
Suivi des lacs;Léman;SHL2;23/11/1981;2;2;;5.264444444
Suivi des lacs;Léman;SHL2;23/11/1981;3.5;3.5;;5.518888889
Suivi des lacs;Léman;SHL2;23/11/1981;5;5;;5.416666667
Suivi des lacs;Léman;SHL2;23/11/1981;7.5;7.5;;5.31
Suivi des lacs;Léman;SHL2;23/11/1981;10;10;;4.932222222
Suivi des lacs;Léman;SHL2;23/11/1981;15;15;;3.488888889
Suivi des lacs;Léman;SHL2;23/11/1981;20;20;;2.147777778
Suivi des lacs;Léman;SHL2;23/11/1981;30;30;;1.158888889
Suivi des lacs;Léman;SHL2;23/12/1981;0;0;;2.634
Suivi des lacs;Léman;SHL2;23/12/1981;1;1;;2.524
Suivi des lacs;Léman;SHL2;23/12/1981;2;2;;2.674
Suivi des lacs;Léman;SHL2;23/12/1981;3.5;3.5;;2.602
Suivi des lacs;Léman;SHL2;23/12/1981;5;5;;2.58
Suivi des lacs;Léman;SHL2;23/12/1981;7.5;7.5;;2.576
Suivi des lacs;Léman;SHL2;23/12/1981;10;10;;2.658
Suivi des lacs;Léman;SHL2;23/12/1981;15;15;;2.552
Suivi des lacs;Léman;SHL2;23/12/1981;20;20;;2.536
Suivi des lacs;Léman;SHL2;23/12/1981;30;30;;1.912
Suivi des lacs;Léman;SHL2;23/01/1986;0;0;;1.336
Suivi des lacs;Léman;SHL2;23/01/1986;1;1;;1.382
Suivi des lacs;Léman;SHL2;23/01/1986;2;2;;1.396
Suivi des lacs;Léman;SHL2;23/01/1986;3.5;3.5;;1.436
Suivi des lacs;Léman;SHL2;23/01/1986;5;5;;1.424
Suivi des lacs;Léman;SHL2;23/01/1986;7.5;7.5;;1.412
Suivi des lacs;Léman;SHL2;23/01/1986;10;10;;1.422
Suivi des lacs;Léman;SHL2;23/01/1986;15;15;;1.488
Suivi des lacs;Léman;SHL2;23/01/1986;20;20;;1.518
Suivi des lacs;Léman;SHL2;23/01/1986;30;30;;1.518
Suivi des lacs;Léman;SHL2;23/02/1986;0;0;;0.996
Suivi des lacs;Léman;SHL2;23/02/1986;1;1;;1.118
Suivi des lacs;Léman;SHL2;23/02/1986;2;2;;1.204
Suivi des lacs;Léman;SHL2;23/02/1986;3.5;3.5;;1.228
Suivi des lacs;Léman;SHL2;23/02/1986;5;5;;1.284
Suivi des lacs;Léman;SHL2;23/02/1986;7.5;7.5;;1.25
Suivi des lacs;Léman;SHL2;23/02/1986;10;10;;1.144
Suivi des lacs;Léman;SHL2;23/02/1986;15;15;;1.208
Suivi des lacs;Léman;SHL2;23/02/1986;20;20;;1.092
Suivi des lacs;Léman;SHL2;23/02/1986;30;30;;1.04
Suivi des lacs;Léman;SHL2;23/03/1986;0;0;;1.621111111
Suivi des lacs;Léman;SHL2;23/03/1986;1;1;;1.686666667
Suivi des lacs;Léman;SHL2;23/03/1986;2;2;;1.747777778
Suivi des lacs;Léman;SHL2;23/03/1986;3.5;3.5;;1.818888889
Suivi des lacs;Léman;SHL2;23/03/1986;5;5;;1.815555556
Suivi des lacs;Léman;SHL2;23/03/1986;7.5;7.5;;1.8
Suivi des lacs;Léman;SHL2;23/03/1986;10;10;;1.805555556
Suivi des lacs;Léman;SHL2;23/03/1986;15;15;;1.763333333
Suivi des lacs;Léman;SHL2;23/03/1986;20;20;;1.565555556
Suivi des lacs;Léman;SHL2;23/03/1986;30;30;;1.438888889
Suivi des lacs;Léman;SHL2;23/04/1986;0;0;;12.16363636
Suivi des lacs;Léman;SHL2;23/04/1986;1;1;;13.45181818
Suivi des lacs;Léman;SHL2;23/04/1986;2;2;;13.44272727
Suivi des lacs;Léman;SHL2;23/04/1986;3.5;3.5;;12.42727273
Suivi des lacs;Léman;SHL2;23/04/1986;5;5;;12.37181818
Suivi des lacs;Léman;SHL2;23/04/1986;7.5;7.5;;10.71454545
Suivi des lacs;Léman;SHL2;23/04/1986;10;10;;7.620909091
Suivi des lacs;Léman;SHL2;23/04/1986;15;15;;4.371818182
Suivi des lacs;Léman;SHL2;23/04/1986;20;20;;3.1
Suivi des lacs;Léman;SHL2;23/04/1986;30;30;;1.985454545
Suivi des lacs;Léman;SHL2;23/05/1986;0;0;;15.22
Suivi des lacs;Léman;SHL2;23/05/1986;1;1;;16.946
Suivi des lacs;Léman;SHL2;23/05/1986;2;2;;18.342
Suivi des lacs;Léman;SHL2;23/05/1986;3.5;3.5;;17.102
Suivi des lacs;Léman;SHL2;23/05/1986;5;5;;15.304
Suivi des lacs;Léman;SHL2;23/05/1986;7.5;7.5;;11.966
Suivi des lacs;Léman;SHL2;23/05/1986;10;10;;7.382
Suivi des lacs;Léman;SHL2;23/05/1986;15;15;;4.046
Suivi des lacs;Léman;SHL2;23/05/1986;20;20;;1.996
Suivi des lacs;Léman;SHL2;23/05/1986;30;30;;1.394
Suivi des lacs;Léman;SHL2;23/06/1986;0;0;;4.929
Suivi des lacs;Léman;SHL2;23/06/1986;1;1;;5.537
Suivi des lacs;Léman;SHL2;23/06/1986;2;2;;6.318
Suivi des lacs;Léman;SHL2;23/06/1986;3.5;3.5;;5.959
Suivi des lacs;Léman;SHL2;23/06/1986;5;5;;5.708
Suivi des lacs;Léman;SHL2;23/06/1986;7.5;7.5;;5.227
Suivi des lacs;Léman;SHL2;23/06/1986;10;10;;4.323
Suivi des lacs;Léman;SHL2;23/06/1986;15;15;;2.546
Suivi des lacs;Léman;SHL2;23/06/1986;20;20;;1.377
Suivi des lacs;Léman;SHL2;23/06/1986;30;30;;0.659
Suivi des lacs;Léman;SHL2;23/07/1986;0;0;;3.937
Suivi des lacs;Léman;SHL2;23/07/1986;1;1;;6.389
Suivi des lacs;Léman;SHL2;23/07/1986;2;2;;6.847
Suivi des lacs;Léman;SHL2;23/07/1986;3.5;3.5;;7.781
Suivi des lacs;Léman;SHL2;23/07/1986;5;5;;7.342
Suivi des lacs;Léman;SHL2;23/07/1986;7.5;7.5;;5.105
Suivi des lacs;Léman;SHL2;23/07/1986;10;10;;3.822
Suivi des lacs;Léman;SHL2;23/07/1986;15;15;;2.619
Suivi des lacs;Léman;SHL2;23/07/1986;20;20;;1.554
Suivi des lacs;Léman;SHL2;23/07/1986;30;30;;0.58
Suivi des lacs;Léman;SHL2;23/08/1986;0;0;;4.179
Suivi des lacs;Léman;SHL2;23/08/1986;1;1;;4.753
Suivi des lacs;Léman;SHL2;23/08/1986;2;2;;5.126
Suivi des lacs;Léman;SHL2;23/08/1986;3.5;3.5;;5.61
Suivi des lacs;Léman;SHL2;23/08/1986;5;5;;6.516
Suivi des lacs;Léman;SHL2;23/08/1986;7.5;7.5;;7.666
Suivi des lacs;Léman;SHL2;23/08/1986;10;10;;6.233
Suivi des lacs;Léman;SHL2;23/08/1986;15;15;;3.258
Suivi des lacs;Léman;SHL2;23/08/1986;20;20;;1.708
Suivi des lacs;Léman;SHL2;23/08/1986;30;30;;0.573
Suivi des lacs;Léman;SHL2;23/09/1986;0;0;;6.34
Suivi des lacs;Léman;SHL2;23/09/1986;1;1;;8.166
Suivi des lacs;Léman;SHL2;23/09/1986;2;2;;8.621
Suivi des lacs;Léman;SHL2;23/09/1986;3.5;3.5;;8.951
Suivi des lacs;Léman;SHL2;23/09/1986;5;5;;8.071
Suivi des lacs;Léman;SHL2;23/09/1986;7.5;7.5;;7.356
Suivi des lacs;Léman;SHL2;23/09/1986;10;10;;5.717
Suivi des lacs;Léman;SHL2;23/09/1986;15;15;;5.151
Suivi des lacs;Léman;SHL2;23/09/1986;20;20;;1.679
Suivi des lacs;Léman;SHL2;23/09/1986;30;30;;0.48
Suivi des lacs;Léman;SHL2;23/10/1986;0;0;;4.322222222
Suivi des lacs;Léman;SHL2;23/10/1986;1;1;;4.803333333
Suivi des lacs;Léman;SHL2;23/10/1986;2;2;;5.295555556
Suivi des lacs;Léman;SHL2;23/10/1986;3.5;3.5;;5.368888889
Suivi des lacs;Léman;SHL2;23/10/1986;5;5;;5.29
Suivi des lacs;Léman;SHL2;23/10/1986;7.5;7.5;;4.821111111
Suivi des lacs;Léman;SHL2;23/10/1986;10;10;;3.475555556
Suivi des lacs;Léman;SHL2;23/10/1986;15;15;;2.257777778
Suivi des lacs;Léman;SHL2;23/10/1986;20;20;;1.292222222
Suivi des lacs;Léman;SHL2;23/10/1986;30;30;;0.398888889
Suivi des lacs;Léman;SHL2;23/11/1986;0;0;;2.4
Suivi des lacs;Léman;SHL2;23/11/1986;1;1;;2.728
Suivi des lacs;Léman;SHL2;23/11/1986;2;2;;2.778
Suivi des lacs;Léman;SHL2;23/11/1986;3.5;3.5;;2.742
Suivi des lacs;Léman;SHL2;23/11/1986;5;5;;2.749
Suivi des lacs;Léman;SHL2;23/11/1986;7.5;7.5;;2.81
Suivi des lacs;Léman;SHL2;23/11/1986;10;10;;2.538
Suivi des lacs;Léman;SHL2;23/11/1986;15;15;;1.939
Suivi des lacs;Léman;SHL2;23/11/1986;20;20;;1.503
Suivi des lacs;Léman;SHL2;23/11/1986;30;30;;0.992
Suivi des lacs;Léman;SHL2;23/12/1986;0;0;;1.734
Suivi des lacs;Léman;SHL2;23/12/1986;1;1;;1.696
Suivi des lacs;Léman;SHL2;23/12/1986;2;2;;1.74
Suivi des lacs;Léman;SHL2;23/12/1986;3.5;3.5;;1.746
Suivi des lacs;Léman;SHL2;23/12/1986;5;5;;1.776
Suivi des lacs;Léman;SHL2;23/12/1986;7.5;7.5;;1.682
Suivi des lacs;Léman;SHL2;23/12/1986;10;10;;1.668
Suivi des lacs;Léman;SHL2;23/12/1986;15;15;;1.72
Suivi des lacs;Léman;SHL2;23/12/1986;20;20;;1.692
Suivi des lacs;Léman;SHL2;23/12/1986;30;30;;1.278
Suivi des lacs;Léman;SHL2;23/01/1991;0;0;;0.944
Suivi des lacs;Léman;SHL2;23/01/1991;1;1;;1.052
Suivi des lacs;Léman;SHL2;23/01/1991;2;2;;1.034
Suivi des lacs;Léman;SHL2;23/01/1991;3.5;3.5;;1.032
Suivi des lacs;Léman;SHL2;23/01/1991;5;5;;1.036
Suivi des lacs;Léman;SHL2;23/01/1991;7.5;7.5;;1.026
Suivi des lacs;Léman;SHL2;23/01/1991;10;10;;1.076
Suivi des lacs;Léman;SHL2;23/01/1991;15;15;;1.046
