nom du projet;nom du site;nom de la plateforme;date prélévement;profondeur;profondeur;chlorophylle a strickland-parsons (µg/l);chlorophylle a scor-unesco (µg/l)
Suivi des lacs;Léman;SHL2;23/02/2006;2;2;;1.8144
Suivi des lacs;Léman;SHL2;23/02/2006;3.5;3.5;;1.8116
Suivi des lacs;Léman;SHL2;23/02/2006;5;5;;1.9078
Suivi des lacs;Léman;SHL2;23/02/2006;7.5;7.5;;1.8084
Suivi des lacs;Léman;SHL2;23/02/2006;10;10;;1.7434
Suivi des lacs;Léman;SHL2;23/02/2006;15;15;;1.731
Suivi des lacs;Léman;SHL2;23/02/2006;20;20;;1.717
Suivi des lacs;Léman;SHL2;23/02/2006;30;30;;1.7326
Suivi des lacs;Léman;SHL2;23/03/2006;0;0;;2.998
Suivi des lacs;Léman;SHL2;23/03/2006;1;1;;3.780777778
Suivi des lacs;Léman;SHL2;23/03/2006;2;2;;3.753111111
Suivi des lacs;Léman;SHL2;23/03/2006;3.5;3.5;;3.762333333
Suivi des lacs;Léman;SHL2;23/03/2006;5;5;;3.788
Suivi des lacs;Léman;SHL2;23/03/2006;7.5;7.5;;3.372888889
Suivi des lacs;Léman;SHL2;23/03/2006;10;10;;3.471111111
Suivi des lacs;Léman;SHL2;23/03/2006;15;15;;3.040777778
Suivi des lacs;Léman;SHL2;23/03/2006;20;20;;2.818444444
Suivi des lacs;Léman;SHL2;23/03/2006;30;30;;2.270888889
Suivi des lacs;Léman;SHL2;23/04/2006;0;0;;8.5241
Suivi des lacs;Léman;SHL2;23/04/2006;1;1;;10.4618
Suivi des lacs;Léman;SHL2;23/04/2006;2;2;;11.6569
Suivi des lacs;Léman;SHL2;23/04/2006;3.5;3.5;;10.5748
Suivi des lacs;Léman;SHL2;23/04/2006;5;5;;8.8838
Suivi des lacs;Léman;SHL2;23/04/2006;7.5;7.5;;7.3305
Suivi des lacs;Léman;SHL2;23/04/2006;10;10;;6.9921
Suivi des lacs;Léman;SHL2;23/04/2006;15;15;;5.5317
Suivi des lacs;Léman;SHL2;23/04/2006;20;20;;4.2192
Suivi des lacs;Léman;SHL2;23/04/2006;30;30;;2.912
Suivi des lacs;Léman;SHL2;23/05/2006;0;0;;2.70325
Suivi des lacs;Léman;SHL2;23/05/2006;1;1;;3.90875
Suivi des lacs;Léman;SHL2;23/05/2006;2;2;;3.8785
Suivi des lacs;Léman;SHL2;23/05/2006;3.5;3.5;;4.4245
Suivi des lacs;Léman;SHL2;23/05/2006;5;5;;4.438875
Suivi des lacs;Léman;SHL2;23/05/2006;7.5;7.5;;4.31975
Suivi des lacs;Léman;SHL2;23/05/2006;10;10;;4.8135
Suivi des lacs;Léman;SHL2;23/05/2006;15;15;;3.419
Suivi des lacs;Léman;SHL2;23/05/2006;20;20;;2.207875
Suivi des lacs;Léman;SHL2;23/05/2006;30;30;;1.0335
Suivi des lacs;Léman;SHL2;23/06/2006;0;0;;1.9663
Suivi des lacs;Léman;SHL2;23/06/2006;1;1;;3.1059
Suivi des lacs;Léman;SHL2;23/06/2006;2;2;;3.6194
Suivi des lacs;Léman;SHL2;23/06/2006;3.5;3.5;;4.0839
Suivi des lacs;Léman;SHL2;23/06/2006;5;5;;4.2426
Suivi des lacs;Léman;SHL2;23/06/2006;7.5;7.5;;4.7455
Suivi des lacs;Léman;SHL2;23/06/2006;10;10;;4.812
Suivi des lacs;Léman;SHL2;23/06/2006;15;15;;4.1218
Suivi des lacs;Léman;SHL2;23/06/2006;20;20;;2.8822
Suivi des lacs;Léman;SHL2;23/06/2006;30;30;;1.3778
Suivi des lacs;Léman;SHL2;23/07/2006;0;0;;4.3639
Suivi des lacs;Léman;SHL2;23/07/2006;1;1;;6.2532
Suivi des lacs;Léman;SHL2;23/07/2006;2;2;;6.8424
Suivi des lacs;Léman;SHL2;23/07/2006;3.5;3.5;;7.0024
Suivi des lacs;Léman;SHL2;23/07/2006;5;5;;7.1327
Suivi des lacs;Léman;SHL2;23/07/2006;7.5;7.5;;9.7711
Suivi des lacs;Léman;SHL2;23/07/2006;10;10;;7.9146
Suivi des lacs;Léman;SHL2;23/07/2006;15;15;;6.9151
Suivi des lacs;Léman;SHL2;23/07/2006;20;20;;6.056
Suivi des lacs;Léman;SHL2;23/07/2006;30;30;;1.9229
Suivi des lacs;Léman;SHL2;23/08/2006;0;0;;3.06
Suivi des lacs;Léman;SHL2;23/08/2006;1;1;;3.755875
Suivi des lacs;Léman;SHL2;23/08/2006;2;2;;3.744
Suivi des lacs;Léman;SHL2;23/08/2006;3.5;3.5;;3.911125
Suivi des lacs;Léman;SHL2;23/08/2006;5;5;;4.96175
Suivi des lacs;Léman;SHL2;23/08/2006;7.5;7.5;;5.534
Suivi des lacs;Léman;SHL2;23/08/2006;10;10;;6.22475
Suivi des lacs;Léman;SHL2;23/08/2006;15;15;;7.306625
Suivi des lacs;Léman;SHL2;23/08/2006;20;20;;6.13775
Suivi des lacs;Léman;SHL2;23/08/2006;30;30;;2.681
Suivi des lacs;Léman;SHL2;23/09/2006;0;0;;3.522888889
Suivi des lacs;Léman;SHL2;23/09/2006;1;1;;4.098666667
Suivi des lacs;Léman;SHL2;23/09/2006;2;2;;4.514333333
Suivi des lacs;Léman;SHL2;23/09/2006;3.5;3.5;;4.358444444
Suivi des lacs;Léman;SHL2;23/09/2006;5;5;;4.804777778
Suivi des lacs;Léman;SHL2;23/09/2006;7.5;7.5;;4.699444444
Suivi des lacs;Léman;SHL2;23/09/2006;10;10;;5.602777778
Suivi des lacs;Léman;SHL2;23/09/2006;15;15;;4.611777778
Suivi des lacs;Léman;SHL2;23/09/2006;20;20;;3.998
Suivi des lacs;Léman;SHL2;23/09/2006;30;30;;1.688888889
Suivi des lacs;Léman;SHL2;23/10/2006;0;0;;5.156888889
Suivi des lacs;Léman;SHL2;23/10/2006;1;1;;5.434555556
Suivi des lacs;Léman;SHL2;23/10/2006;2;2;;5.639888889
Suivi des lacs;Léman;SHL2;23/10/2006;3.5;3.5;;5.766222222
Suivi des lacs;Léman;SHL2;23/10/2006;5;5;;5.165777778
Suivi des lacs;Léman;SHL2;23/10/2006;7.5;7.5;;5.310444444
Suivi des lacs;Léman;SHL2;23/10/2006;10;10;;5.036
Suivi des lacs;Léman;SHL2;23/10/2006;15;15;;3.809666667
Suivi des lacs;Léman;SHL2;23/10/2006;20;20;;2.968666667
Suivi des lacs;Léman;SHL2;23/10/2006;30;30;;1.624333333
Suivi des lacs;Léman;SHL2;23/11/2006;0;0;;4.6585
Suivi des lacs;Léman;SHL2;23/11/2006;1;1;;5.079333333
Suivi des lacs;Léman;SHL2;23/11/2006;2;2;;5.104666667
Suivi des lacs;Léman;SHL2;23/11/2006;3.5;3.5;;4.669
Suivi des lacs;Léman;SHL2;23/11/2006;5;5;;4.9205
Suivi des lacs;Léman;SHL2;23/11/2006;7.5;7.5;;4.8615
Suivi des lacs;Léman;SHL2;23/11/2006;10;10;;4.3
Suivi des lacs;Léman;SHL2;23/11/2006;15;15;;4.396
Suivi des lacs;Léman;SHL2;23/11/2006;20;20;;3.8345
Suivi des lacs;Léman;SHL2;23/11/2006;30;30;;1.825
Suivi des lacs;Léman;SHL2;23/12/2006;0;0;;2.9096
Suivi des lacs;Léman;SHL2;23/12/2006;1;1;;2.9888
Suivi des lacs;Léman;SHL2;23/12/2006;2;2;;2.9258
Suivi des lacs;Léman;SHL2;23/12/2006;3.5;3.5;;2.9848
Suivi des lacs;Léman;SHL2;23/12/2006;5;5;;3.0424
Suivi des lacs;Léman;SHL2;23/12/2006;7.5;7.5;;2.8334
Suivi des lacs;Léman;SHL2;23/12/2006;10;10;;2.875
Suivi des lacs;Léman;SHL2;23/12/2006;15;15;;2.7494
Suivi des lacs;Léman;SHL2;23/12/2006;20;20;;2.8668
Suivi des lacs;Léman;SHL2;23/12/2006;30;30;;2.8166
Suivi des lacs;Léman;SHL2;23/01/2011;0;0;;2.168
Suivi des lacs;Léman;SHL2;23/01/2011;1;1;;2.482
Suivi des lacs;Léman;SHL2;23/01/2011;2;2;;1.855
Suivi des lacs;Léman;SHL2;23/01/2011;2.5;2.5;;2.833333333
Suivi des lacs;Léman;SHL2;23/01/2011;3.5;3.5;;2.558
Suivi des lacs;Léman;SHL2;23/01/2011;5;5;;2.458
Suivi des lacs;Léman;SHL2;23/01/2011;7.5;7.5;;2.418
Suivi des lacs;Léman;SHL2;23/01/2011;10;10;;2.47
Suivi des lacs;Léman;SHL2;23/01/2011;15;15;;2.364
Suivi des lacs;Léman;SHL2;23/01/2011;20;20;;2.442
Suivi des lacs;Léman;SHL2;23/01/2011;30;30;;2.396
Suivi des lacs;Léman;SHL2;23/02/2011;0;0;;2.118
Suivi des lacs;Léman;SHL2;23/02/2011;1;1;;2.184
Suivi des lacs;Léman;SHL2;23/02/2011;2;2;;2.385
Suivi des lacs;Léman;SHL2;23/02/2011;2.5;2.5;;2.18
Suivi des lacs;Léman;SHL2;23/02/2011;3.5;3.5;;2.252
Suivi des lacs;Léman;SHL2;23/02/2011;5;5;;2.37
Suivi des lacs;Léman;SHL2;23/02/2011;7.5;7.5;;2.324
Suivi des lacs;Léman;SHL2;23/02/2011;10;10;;2.152
Suivi des lacs;Léman;SHL2;23/02/2011;15;15;;1.918
Suivi des lacs;Léman;SHL2;23/02/2011;20;20;;1.786
Suivi des lacs;Léman;SHL2;23/02/2011;30;30;;1.73
Suivi des lacs;Léman;SHL2;23/03/2011;0;0;;5.277
Suivi des lacs;Léman;SHL2;23/03/2011;1;1;;6.297
Suivi des lacs;Léman;SHL2;23/03/2011;2;2;;8.6025
Suivi des lacs;Léman;SHL2;23/03/2011;2.5;2.5;;4.996666667
Suivi des lacs;Léman;SHL2;23/03/2011;3.5;3.5;;6.526
Suivi des lacs;Léman;SHL2;23/03/2011;5;5;;6.387
Suivi des lacs;Léman;SHL2;23/03/2011;7.5;7.5;;6.063
Suivi des lacs;Léman;SHL2;23/03/2011;10;10;;5.714
Suivi des lacs;Léman;SHL2;23/03/2011;15;15;;5.216
Suivi des lacs;Léman;SHL2;23/03/2011;20;20;;3.973
Suivi des lacs;Léman;SHL2;23/03/2011;30;30;;3.186
Suivi des lacs;Léman;SHL2;23/04/2011;0;0;;6.497777778
Suivi des lacs;Léman;SHL2;23/04/2011;1;1;;7.335555556
Suivi des lacs;Léman;SHL2;23/04/2011;2;2;;9.105
Suivi des lacs;Léman;SHL2;23/04/2011;2.5;2.5;;8.091428571
Suivi des lacs;Léman;SHL2;23/04/2011;3.5;3.5;;8.705555556
Suivi des lacs;Léman;SHL2;23/04/2011;5;5;;8.572222222
Suivi des lacs;Léman;SHL2;23/04/2011;7.5;7.5;;7.774444444
Suivi des lacs;Léman;SHL2;23/04/2011;10;10;;7.78
Suivi des lacs;Léman;SHL2;23/04/2011;15;15;;6.823333333
Suivi des lacs;Léman;SHL2;23/04/2011;20;20;;4.74125
Suivi des lacs;Léman;SHL2;23/04/2011;30;30;;3.41
Suivi des lacs;Léman;SHL2;23/05/2011;0;0;;2.361
Suivi des lacs;Léman;SHL2;23/05/2011;1;1;;3.632
Suivi des lacs;Léman;SHL2;23/05/2011;2;2;;2.5275
Suivi des lacs;Léman;SHL2;23/05/2011;2.5;2.5;;5.255
Suivi des lacs;Léman;SHL2;23/05/2011;3.5;3.5;;4.672
Suivi des lacs;Léman;SHL2;23/05/2011;5;5;;4.831
Suivi des lacs;Léman;SHL2;23/05/2011;7.5;7.5;;5.172
Suivi des lacs;Léman;SHL2;23/05/2011;10;10;;6.258
Suivi des lacs;Léman;SHL2;23/05/2011;15;15;;4.856
Suivi des lacs;Léman;SHL2;23/05/2011;20;20;;3.679
Suivi des lacs;Léman;SHL2;23/05/2011;30;30;;1.682
Suivi des lacs;Léman;SHL2;23/06/2011;0;0;;1.831111111
Suivi des lacs;Léman;SHL2;23/06/2011;1;1;;2.601111111
Suivi des lacs;Léman;SHL2;23/06/2011;2;2;;3.2575
Suivi des lacs;Léman;SHL2;23/06/2011;2.5;2.5;;4.23
Suivi des lacs;Léman;SHL2;23/06/2011;3.5;3.5;;3.905555556
Suivi des lacs;Léman;SHL2;23/06/2011;5;5;;3.427777778
Suivi des lacs;Léman;SHL2;23/06/2011;7.5;7.5;;4.105555556
Suivi des lacs;Léman;SHL2;23/06/2011;10;10;;4.82
Suivi des lacs;Léman;SHL2;23/06/2011;15;15;;5.835555556
Suivi des lacs;Léman;SHL2;23/06/2011;20;20;;2.882222222
Suivi des lacs;Léman;SHL2;23/06/2011;30;30;;1.175555556
Suivi des lacs;Léman;SHL2;23/07/2011;0;0;;3.502222222
Suivi des lacs;Léman;SHL2;23/07/2011;1;1;;4.07375
Suivi des lacs;Léman;SHL2;23/07/2011;2;2;;9.115
Suivi des lacs;Léman;SHL2;23/07/2011;2.5;2.5;;3.004
Suivi des lacs;Léman;SHL2;23/07/2011;3.5;3.5;;5.11
Suivi des lacs;Léman;SHL2;23/07/2011;5;5;;5.068888889
Suivi des lacs;Léman;SHL2;23/07/2011;7.5;7.5;;4.734444444
Suivi des lacs;Léman;SHL2;23/07/2011;10;10;;4.42
Suivi des lacs;Léman;SHL2;23/07/2011;15;15;;4.454444444
Suivi des lacs;Léman;SHL2;23/07/2011;20;20;;3.154444444
Suivi des lacs;Léman;SHL2;23/07/2011;30;30;;1.308888889
Suivi des lacs;Léman;SHL2;23/08/2011;0;0;;4.07
Suivi des lacs;Léman;SHL2;23/08/2011;1;1;;4.366
Suivi des lacs;Léman;SHL2;23/08/2011;2;2;;5.123333333
Suivi des lacs;Léman;SHL2;23/08/2011;2.5;2.5;;4.611428571
Suivi des lacs;Léman;SHL2;23/08/2011;3.5;3.5;;4.99
Suivi des lacs;Léman;SHL2;23/08/2011;5;5;;5.214
Suivi des lacs;Léman;SHL2;23/08/2011;7.5;7.5;;5.817
Suivi des lacs;Léman;SHL2;23/08/2011;10;10;;4.987
Suivi des lacs;Léman;SHL2;23/08/2011;15;15;;5.974
Suivi des lacs;Léman;SHL2;23/08/2011;20;20;;3.783
Suivi des lacs;Léman;SHL2;23/08/2011;30;30;;1.485
Suivi des lacs;Léman;SHL2;23/09/2011;0;0;;3.731111111
Suivi des lacs;Léman;SHL2;23/09/2011;1;1;;3.975555556
Suivi des lacs;Léman;SHL2;23/09/2011;2;2;;4.46
Suivi des lacs;Léman;SHL2;23/09/2011;2.5;2.5;;4.12
Suivi des lacs;Léman;SHL2;23/09/2011;3.5;3.5;;4.202222222
Suivi des lacs;Léman;SHL2;23/09/2011;5;5;;4.335555556
Suivi des lacs;Léman;SHL2;23/09/2011;7.5;7.5;;4.486666667
Suivi des lacs;Léman;SHL2;23/09/2011;10;10;;4.08
Suivi des lacs;Léman;SHL2;23/09/2011;15;15;;3.235555556
Suivi des lacs;Léman;SHL2;23/09/2011;20;20;;2.071111111
Suivi des lacs;Léman;SHL2;23/09/2011;30;30;;1.215555556
Suivi des lacs;Léman;SHL2;23/10/2011;0;0;;3.905
Suivi des lacs;Léman;SHL2;23/10/2011;1;1;;4.4275
Suivi des lacs;Léman;SHL2;23/10/2011;2;2;;7.583333333
Suivi des lacs;Léman;SHL2;23/10/2011;2.5;2.5;;3.558
Suivi des lacs;Léman;SHL2;23/10/2011;3.5;3.5;;5.43125
Suivi des lacs;Léman;SHL2;23/10/2011;5;5;;5.135
Suivi des lacs;Léman;SHL2;23/10/2011;7.5;7.5;;4.85875
Suivi des lacs;Léman;SHL2;23/10/2011;10;10;;4.71125
Suivi des lacs;Léman;SHL2;23/10/2011;15;15;;4.1475
Suivi des lacs;Léman;SHL2;23/10/2011;20;20;;3.055
Suivi des lacs;Léman;SHL2;23/10/2011;30;30;;1.1775
Suivi des lacs;Léman;SHL2;23/11/2011;0;0;;3.66625
Suivi des lacs;Léman;SHL2;23/11/2011;1;1;;3.755
Suivi des lacs;Léman;SHL2;23/11/2011;2;2;;3.975
Suivi des lacs;Léman;SHL2;23/11/2011;2.5;2.5;;4.0525
Suivi des lacs;Léman;SHL2;23/11/2011;3.5;3.5;;3.9425
Suivi des lacs;Léman;SHL2;23/11/2011;5;5;;3.98625
Suivi des lacs;Léman;SHL2;23/11/2011;7.5;7.5;;3.775
Suivi des lacs;Léman;SHL2;23/11/2011;10;10;;3.57125
Suivi des lacs;Léman;SHL2;23/11/2011;15;15;;2.77
Suivi des lacs;Léman;SHL2;23/11/2011;20;20;;2.205
Suivi des lacs;Léman;SHL2;23/11/2011;30;30;;1.23125
Suivi des lacs;Léman;SHL2;23/12/2011;0;0;;2.884
Suivi des lacs;Léman;SHL2;23/12/2011;1;1;;2.988
Suivi des lacs;Léman;SHL2;23/12/2011;2.5;2.5;;3.016
Suivi des lacs;Léman;SHL2;23/12/2011;3.5;3.5;;3.012
Suivi des lacs;Léman;SHL2;23/12/2011;5;5;;2.948
Suivi des lacs;Léman;SHL2;23/12/2011;7.5;7.5;;3.052
Suivi des lacs;Léman;SHL2;23/12/2011;10;10;;2.978
Suivi des lacs;Léman;SHL2;23/12/2011;15;15;;3.226
Suivi des lacs;Léman;SHL2;23/12/2011;20;20;;3.076
Suivi des lacs;Léman;SHL2;23/12/2011;30;30;;1.96
Suivi des lacs;Léman;SHL2;23/01/2016;0;0;;2.44
Suivi des lacs;Léman;SHL2;23/01/2016;1;1;;2.353333333
Suivi des lacs;Léman;SHL2;23/01/2016;2.5;2.5;;2.436666667
Suivi des lacs;Léman;SHL2;23/01/2016;3.5;3.5;;2.443333333
Suivi des lacs;Léman;SHL2;23/01/2016;5;5;;2.373333333
Suivi des lacs;Léman;SHL2;23/01/2016;7.5;7.5;;2.4
Suivi des lacs;Léman;SHL2;23/01/2016;10;10;;2.453333333
Suivi des lacs;Léman;SHL2;23/01/2016;15;15;;2.39
Suivi des lacs;Léman;SHL2;23/01/2016;20;20;;2.386666667
Suivi des lacs;Léman;SHL2;23/01/2016;30;30;;2.436666667
Suivi des lacs;Léman;SHL2;23/02/2016;0;0;;1.393333333
Suivi des lacs;Léman;SHL2;23/02/2016;1;1;;1.551666667
Suivi des lacs;Léman;SHL2;23/02/2016;2.5;2.5;;1.690666667
Suivi des lacs;Léman;SHL2;23/02/2016;3.5;3.5;;1.823666667
Suivi des lacs;Léman;SHL2;23/02/2016;5;5;;1.773666667
Suivi des lacs;Léman;SHL2;23/02/2016;7.5;7.5;;1.786666667
Suivi des lacs;Léman;SHL2;23/02/2016;10;10;;1.731
Suivi des lacs;Léman;SHL2;23/02/2016;15;15;;1.74
Suivi des lacs;Léman;SHL2;23/02/2016;20;20;;1.690666667
Suivi des lacs;Léman;SHL2;23/02/2016;30;30;;1.696
Suivi des lacs;Léman;SHL2;23/03/2016;0;0;;2.799666667
Suivi des lacs;Léman;SHL2;23/03/2016;1;1;;3.68075
Suivi des lacs;Léman;SHL2;23/03/2016;2.5;2.5;;4.26425
Suivi des lacs;Léman;SHL2;23/03/2016;3.5;3.5;;4.478
Suivi des lacs;Léman;SHL2;23/03/2016;5;5;;3.98975
Suivi des lacs;Léman;SHL2;23/03/2016;7.5;7.5;;3.762
Suivi des lacs;Léman;SHL2;23/03/2016;10;10;;3.576125
Suivi des lacs;Léman;SHL2;23/03/2016;15;15;;3.04575
Suivi des lacs;Léman;SHL2;23/03/2016;20;20;;2.526125
Suivi des lacs;Léman;SHL2;23/03/2016;30;30;;2.3275
Suivi des lacs;Léman;SHL2;23/04/2016;0;0;;2.354857143
Suivi des lacs;Léman;SHL2;23/04/2016;1;1;;4.188571429
Suivi des lacs;Léman;SHL2;23/04/2016;2.5;2.5;;4.411714286
Suivi des lacs;Léman;SHL2;23/04/2016;3.5;3.5;;4.67
Suivi des lacs;Léman;SHL2;23/04/2016;5;5;;4.003142857
Suivi des lacs;Léman;SHL2;23/04/2016;7.5;7.5;;4.388142857
Suivi des lacs;Léman;SHL2;23/04/2016;10;10;;4.572
Suivi des lacs;Léman;SHL2;23/04/2016;15;15;;4.252142857
Suivi des lacs;Léman;SHL2;23/04/2016;20;20;;3.570571429
Suivi des lacs;Léman;SHL2;23/04/2016;30;30;;2.232
Suivi des lacs;Léman;SHL2;23/05/2016;0;0;;3.894
Suivi des lacs;Léman;SHL2;23/05/2016;1;1;;5.446142857
Suivi des lacs;Léman;SHL2;23/05/2016;2.5;2.5;;6.066857143
Suivi des lacs;Léman;SHL2;23/05/2016;3.5;3.5;;6.483142857
Suivi des lacs;Léman;SHL2;23/05/2016;5;5;;5.568428571
Suivi des lacs;Léman;SHL2;23/05/2016;7.5;7.5;;5.861571429
Suivi des lacs;Léman;SHL2;23/05/2016;10;10;;5.215285714
Suivi des lacs;Léman;SHL2;23/05/2016;15;15;;4.582714286
Suivi des lacs;Léman;SHL2;23/05/2016;20;20;;4.699571429
Suivi des lacs;Léman;SHL2;23/05/2016;30;30;;2.778714286
Suivi des lacs;Léman;SHL2;23/06/2016;0;0;;1.655857143
Suivi des lacs;Léman;SHL2;23/06/2016;1;1;;2.348
Suivi des lacs;Léman;SHL2;23/06/2016;2.5;2.5;;2.725142857
Suivi des lacs;Léman;SHL2;23/06/2016;3.5;3.5;;3.484857143
Suivi des lacs;Léman;SHL2;23/06/2016;5;5;;3.385571429
Suivi des lacs;Léman;SHL2;23/06/2016;7.5;7.5;;4.348285714
Suivi des lacs;Léman;SHL2;23/06/2016;10;10;;6.340285714
Suivi des lacs;Léman;SHL2;23/06/2016;15;15;;6.734857143
Suivi des lacs;Léman;SHL2;23/06/2016;20;20;;5.946571429
Suivi des lacs;Léman;SHL2;23/06/2016;30;30;;2.779285714
Suivi des lacs;Léman;SHL2;23/07/2016;0;0;;1.711777778
Suivi des lacs;Léman;SHL2;23/07/2016;1;1;;2.507222222
Suivi des lacs;Léman;SHL2;23/07/2016;2.5;2.5;;3.300111111
Suivi des lacs;Léman;SHL2;23/07/2016;3.5;3.5;;3.153111111
Suivi des lacs;Léman;SHL2;23/07/2016;5;5;;3.546777778
Suivi des lacs;Léman;SHL2;23/07/2016;7.5;7.5;;4.380333333
Suivi des lacs;Léman;SHL2;23/07/2016;10;10;;4.389555556
Suivi des lacs;Léman;SHL2;23/07/2016;15;15;;4.192333333
Suivi des lacs;Léman;SHL2;23/07/2016;20;20;;3.610444444
Suivi des lacs;Léman;SHL2;23/07/2016;30;30;;1.787777778
Suivi des lacs;Léman;SHL2;23/08/2016;0;0;;2.286
Suivi des lacs;Léman;SHL2;23/08/2016;1;1;;2.7985
Suivi des lacs;Léman;SHL2;23/08/2016;2.5;2.5;;3.326666667
Suivi des lacs;Léman;SHL2;23/08/2016;3.5;3.5;;3.611166667
Suivi des lacs;Léman;SHL2;23/08/2016;5;5;;3.893833333
Suivi des lacs;Léman;SHL2;23/08/2016;7.5;7.5;;4.949
Suivi des lacs;Léman;SHL2;23/08/2016;10;10;;6.498
Suivi des lacs;Léman;SHL2;23/08/2016;15;15;;6.9265
Suivi des lacs;Léman;SHL2;23/08/2016;20;20;;3.989166667
Suivi des lacs;Léman;SHL2;23/08/2016;30;30;;1.670333333
Suivi des lacs;Léman;SHL2;23/09/2016;0;0;;2.546666667
Suivi des lacs;Léman;SHL2;23/09/2016;1;1;;2.958
Suivi des lacs;Léman;SHL2;23/09/2016;2.5;2.5;;4.131555556
Suivi des lacs;Léman;SHL2;23/09/2016;3.5;3.5;;3.823444444
Suivi des lacs;Léman;SHL2;23/09/2016;5;5;;3.914777778
Suivi des lacs;Léman;SHL2;23/09/2016;7.5;7.5;;4.174666667
Suivi des lacs;Léman;SHL2;23/09/2016;10;10;;3.810444444
Suivi des lacs;Léman;SHL2;23/09/2016;15;15;;2.992777778
Suivi des lacs;Léman;SHL2;23/09/2016;20;20;;2.96
Suivi des lacs;Léman;SHL2;23/09/2016;30;30;;1.312222222
Suivi des lacs;Léman;SHL2;23/10/2016;0;0;;2.967125
Suivi des lacs;Léman;SHL2;23/10/2016;1;1;;3.555666667
Suivi des lacs;Léman;SHL2;23/10/2016;2.5;2.5;;3.638
Suivi des lacs;Léman;SHL2;23/10/2016;3.5;3.5;;3.620333333
Suivi des lacs;Léman;SHL2;23/10/2016;5;5;;3.544285714
Suivi des lacs;Léman;SHL2;23/10/2016;7.5;7.5;;3.261857143
Suivi des lacs;Léman;SHL2;23/10/2016;10;10;;3.114142857
Suivi des lacs;Léman;SHL2;23/10/2016;15;15;;2.198571429
Suivi des lacs;Léman;SHL2;23/10/2016;20;20;;2.408714286
Suivi des lacs;Léman;SHL2;23/10/2016;30;30;;0.968714286
Suivi des lacs;Léman;SHL2;23/11/2016;0;0;;3.521666667
Suivi des lacs;Léman;SHL2;23/11/2016;1;1;;3.939666667
Suivi des lacs;Léman;SHL2;23/11/2016;2.5;2.5;;4.006166667
Suivi des lacs;Léman;SHL2;23/11/2016;3.5;3.5;;4.491
Suivi des lacs;Léman;SHL2;23/11/2016;5;5;;4.376166667
Suivi des lacs;Léman;SHL2;23/11/2016;7.5;7.5;;4.267
Suivi des lacs;Léman;SHL2;23/11/2016;10;10;;4.279
Suivi des lacs;Léman;SHL2;23/11/2016;15;15;;3.757166667
Suivi des lacs;Léman;SHL2;23/11/2016;20;20;;3.152166667
Suivi des lacs;Léman;SHL2;23/11/2016;30;30;;2.5755
Suivi des lacs;Léman;SHL2;23/12/2016;0;0;;3.75575
Suivi des lacs;Léman;SHL2;23/12/2016;1;1;;4.9995
Suivi des lacs;Léman;SHL2;23/12/2016;2.5;2.5;;4.0285
Suivi des lacs;Léman;SHL2;23/12/2016;3.5;3.5;;5.316
Suivi des lacs;Léman;SHL2;23/12/2016;5;5;;4.16675
Suivi des lacs;Léman;SHL2;23/12/2016;7.5;7.5;;4.069
Suivi des lacs;Léman;SHL2;23/12/2016;10;10;;3.97175
Suivi des lacs;Léman;SHL2;23/12/2016;15;15;;3.96375
Suivi des lacs;Léman;SHL2;23/12/2016;20;20;;3.8555
Suivi des lacs;Léman;SHL2;23/12/2016;30;30;;2.421
