"";"nom.du.projet";"nom.du.site";"nom.de.la.plateforme";"date.prélèvement";"profondeur.min.réelle.observée..m.";"profondeur.max.réelle.observée..m.";"chlorophylle.a.scor.unesco..µg.l.";"chlorophylle.a.strickland.parsons..µg.l.";"chlorophylle.c..µg.l.";"pheopigments..µg.l."
"1";"Suivi des lacs";"Léman";"SHL2";"17/10/2016";0;17.5;2.16;2.18;0.84;0.13
"2";"Suivi des lacs";"Léman";"SHL2";"17/10/2016";1;1;3.02;3.05;1.09;0
"3";"Suivi des lacs";"Léman";"SHL2";"17/10/2016";2.5;2.5;3.03;3.06;1.11;0
"4";"Suivi des lacs";"Léman";"SHL2";"17/10/2016";3.5;3.5;2.91;2.94;1.04;0
"5";"Suivi des lacs";"Léman";"SHL2";"17/10/2016";5;5;2.88;2.91;1.08;0
"6";"Suivi des lacs";"Léman";"SHL2";"17/10/2016";7.5;7.5;1.95;1.97;0.71;0.09
"7";"Suivi des lacs";"Léman";"SHL2";"17/10/2016";10;10;1.66;1.68;0.68;0.11
"8";"Suivi des lacs";"Léman";"SHL2";"17/10/2016";15;15;1.25;1.26;0.54;0.1
"9";"Suivi des lacs";"Léman";"SHL2";"17/10/2016";20;20;0.63;0.63;0.31;0.09
"10";"Suivi des lacs";"Léman";"SHL2";"17/10/2016";30;30;0.48;0.48;0.19;0.1
"11";"Suivi des lacs";"Léman";"SHL2";"15/11/2016";0;0;2.9;2.92;0.91;0.08
"12";"Suivi des lacs";"Léman";"SHL2";"15/11/2016";1;1;2.72;2.74;0.92;0.07
"13";"Suivi des lacs";"Léman";"SHL2";"15/11/2016";2.5;2.5;3.02;3.05;1.04;0.06
"14";"Suivi des lacs";"Léman";"SHL2";"15/11/2016";3.5;3.5;3.14;3.17;1.07;0.04
"15";"Suivi des lacs";"Léman";"SHL2";"15/11/2016";5;5;3.2;3.22;1.1;0.06
"16";"Suivi des lacs";"Léman";"SHL2";"15/11/2016";7.5;7.5;2.99;3.02;0.97;0.06
"17";"Suivi des lacs";"Léman";"SHL2";"15/11/2016";10;10;3.16;3.18;1.06;0.06
"18";"Suivi des lacs";"Léman";"SHL2";"15/11/2016";15;15;3.15;3.18;1.05;0.08
"19";"Suivi des lacs";"Léman";"SHL2";"15/11/2016";20;20;3.18;3.2;1.09;0.06
"20";"Suivi des lacs";"Léman";"SHL2";"15/11/2016";30;30;1.82;1.84;0.5;0.13
"21";"Suivi des lacs";"Léman";"SHL2";"30/11/2016";0;0;2;2.02;0.63;0.01
"22";"Suivi des lacs";"Léman";"SHL2";"30/11/2016";1;1;2.05;2.07;0.66;0.02
"23";"Suivi des lacs";"Léman";"SHL2";"30/11/2016";2.5;2.5;2.11;2.12;0.74;0.02
"24";"Suivi des lacs";"Léman";"SHL2";"30/11/2016";3.5;3.5;2.23;2.25;0.72;0.01
"25";"Suivi des lacs";"Léman";"SHL2";"30/11/2016";5;5;2.14;2.15;0.69;0.01
"26";"Suivi des lacs";"Léman";"SHL2";"30/11/2016";7.5;7.5;2.04;2.06;0.71;0.01
"27";"Suivi des lacs";"Léman";"SHL2";"30/11/2016";10;10;1.99;2;0.62;0.01
"28";"Suivi des lacs";"Léman";"SHL2";"30/11/2016";15;15;2.04;2.06;0.61;0.02
"29";"Suivi des lacs";"Léman";"SHL2";"30/11/2016";20;20;2.01;2.03;0.67;0.03
"30";"Suivi des lacs";"Léman";"SHL2";"30/11/2016";30;30;0.38;0.39;0.08;0.09
"31";"Suivi des lacs";"Léman";"SHL2";"15/12/2016";0;0;3.02;3.05;1.14;0
"32";"Suivi des lacs";"Léman";"SHL2";"15/12/2016";1;1;3.17;3.2;1.17;0
"33";"Suivi des lacs";"Léman";"SHL2";"15/12/2016";2.5;2.5;3.21;3.24;1.16;0
"34";"Suivi des lacs";"Léman";"SHL2";"15/12/2016";3.5;3.5;3.25;3.28;1.15;0
"35";"Suivi des lacs";"Léman";"SHL2";"15/12/2016";5;5;3.19;3.22;1.11;0
"36";"Suivi des lacs";"Léman";"SHL2";"15/12/2016";7.5;7.5;3.08;3.1;1.12;0
"37";"Suivi des lacs";"Léman";"SHL2";"15/12/2016";10;10;3.02;3.05;1.06;0
"38";"Suivi des lacs";"Léman";"SHL2";"15/12/2016";15;15;3.05;3.08;0.91;0
"39";"Suivi des lacs";"Léman";"SHL2";"15/12/2016";20;20;2.97;3;1.13;0
"40";"Suivi des lacs";"Léman";"SHL2";"15/12/2016";30;30;0.44;0.45;0.15;0.07
"41";"Suivi des lacs";"Léman";"SHL2";"30/01/2017";0;0;1.27;1.28;0.49;0.11
"42";"Suivi des lacs";"Léman";"SHL2";"30/01/2017";1;1;1.33;1.34;0.5;0.11
"43";"Suivi des lacs";"Léman";"SHL2";"30/01/2017";2.5;2.5;1.34;1.35;0.47;0.12
"44";"Suivi des lacs";"Léman";"SHL2";"30/01/2017";3.5;3.5;1.35;1.37;0.5;0.12
"45";"Suivi des lacs";"Léman";"SHL2";"30/01/2017";5;5;1.31;1.32;0.47;0.1
"46";"Suivi des lacs";"Léman";"SHL2";"30/01/2017";7.5;7.5;1.36;1.37;0.46;0.11
"47";"Suivi des lacs";"Léman";"SHL2";"30/01/2017";10;10;1.41;1.42;0.49;0.12
"48";"Suivi des lacs";"Léman";"SHL2";"30/01/2017";15;15;1.36;1.37;0.54;0.12
"49";"Suivi des lacs";"Léman";"SHL2";"30/01/2017";20;20;1.3;1.32;0.46;0.11
"50";"Suivi des lacs";"Léman";"SHL2";"30/01/2017";30;30;1.34;1.36;0.45;0.11
"51";"Suivi des lacs";"Léman";"SHL2";"15/02/2017";0;0;1.09;1.1;0.42;0.06
"52";"Suivi des lacs";"Léman";"SHL2";"15/02/2017";1;1;1.2;1.21;0.43;0.05
"53";"Suivi des lacs";"Léman";"SHL2";"15/02/2017";2.5;2.5;1.33;1.34;0.51;0.07
"54";"Suivi des lacs";"Léman";"SHL2";"15/02/2017";3.5;3.5;1.34;1.35;0.47;0.07
"55";"Suivi des lacs";"Léman";"SHL2";"15/02/2017";5;5;1.26;1.27;0.44;0.08
"56";"Suivi des lacs";"Léman";"SHL2";"15/02/2017";7.5;7.5;1.29;1.3;0.51;0.07
"57";"Suivi des lacs";"Léman";"SHL2";"15/02/2017";10;10;1.3;1.31;0.47;0.07
"58";"Suivi des lacs";"Léman";"SHL2";"15/02/2017";15;15;1.21;1.22;0.41;0.08
"59";"Suivi des lacs";"Léman";"SHL2";"15/02/2017";20;20;1.21;1.22;0.44;0.08
"60";"Suivi des lacs";"Léman";"SHL2";"15/02/2017";30;30;1.13;1.14;0.41;0.08
"61";"Suivi des lacs";"Léman";"SHL2";"08/03/2017";0;0;1.13;1.14;0.48;0.07
"62";"Suivi des lacs";"Léman";"SHL2";"08/03/2017";1;1;1.45;1.46;0.54;0.04
"63";"Suivi des lacs";"Léman";"SHL2";"08/03/2017";2.5;2.5;1.74;1.76;0.89;0.03
"64";"Suivi des lacs";"Léman";"SHL2";"08/03/2017";3.5;3.5;1.69;1.71;0.81;0.04
"65";"Suivi des lacs";"Léman";"SHL2";"08/03/2017";5;5;1.73;1.74;0.73;0.1
"66";"Suivi des lacs";"Léman";"SHL2";"08/03/2017";7.5;7.5;1.72;1.73;0.69;0.05
"67";"Suivi des lacs";"Léman";"SHL2";"08/03/2017";10;10;1.64;1.66;0.69;0.06
"68";"Suivi des lacs";"Léman";"SHL2";"08/03/2017";15;15;1.62;1.64;0.69;0.08
"69";"Suivi des lacs";"Léman";"SHL2";"08/03/2017";20;20;1.65;1.66;0.67;0.06
"70";"Suivi des lacs";"Léman";"SHL2";"08/03/2017";30;30;1.6;1.62;0.71;0.06
"71";"Suivi des lacs";"Léman";"SHL2";"20/03/2017";0;0;3.71;3.74;1.88;0
"72";"Suivi des lacs";"Léman";"SHL2";"20/03/2017";1;1;11.61;11.72;6.73;0
"73";"Suivi des lacs";"Léman";"SHL2";"20/03/2017";2.5;2.5;15;15.14;8.15;0
"74";"Suivi des lacs";"Léman";"SHL2";"20/03/2017";3.5;3.5;15.83;15.98;8.65;0
"75";"Suivi des lacs";"Léman";"SHL2";"20/03/2017";5;5;12.46;12.58;6.91;0
"76";"Suivi des lacs";"Léman";"SHL2";"20/03/2017";7.5;7.5;10.4;10.51;5.1;0
"77";"Suivi des lacs";"Léman";"SHL2";"20/03/2017";10;10;9.28;9.37;4.66;0
"78";"Suivi des lacs";"Léman";"SHL2";"20/03/2017";15;15;5.45;5.51;2.54;0.01
"79";"Suivi des lacs";"Léman";"SHL2";"20/03/2017";20;20;2.9;2.93;0.94;0.1
"80";"Suivi des lacs";"Léman";"SHL2";"20/03/2017";30;30;1.31;1.33;0.49;0.13
"81";"Suivi des lacs";"Léman";"SHL2";"10/04/2017";0;0;0.91;0.92;0.63;0.08
"82";"Suivi des lacs";"Léman";"SHL2";"10/04/2017";1;1;1.35;1.37;0.77;0.05
"83";"Suivi des lacs";"Léman";"SHL2";"10/04/2017";2.5;2.5;2.63;2.65;1.39;0
"84";"Suivi des lacs";"Léman";"SHL2";"10/04/2017";3.5;3.5;3.06;3.09;1.69;0.09
"85";"Suivi des lacs";"Léman";"SHL2";"10/04/2017";5;5;3.34;3.38;2.04;0.14
"86";"Suivi des lacs";"Léman";"SHL2";"10/04/2017";7.5;7.5;3.4;3.44;2.14;0.23
"87";"Suivi des lacs";"Léman";"SHL2";"10/04/2017";10;10;3.46;3.5;2.06;0.16
"88";"Suivi des lacs";"Léman";"SHL2";"10/04/2017";15;15;3.79;3.83;2.29;0.13
"89";"Suivi des lacs";"Léman";"SHL2";"10/04/2017";20;20;2.78;2.81;1.36;0.28
"90";"Suivi des lacs";"Léman";"SHL2";"10/04/2017";30;30;2.37;2.39;1.02;0.26
"91";"Suivi des lacs";"Léman";"SHL2";"02/05/2017";0;0;4.65;4.7;1.99;0
"92";"Suivi des lacs";"Léman";"SHL2";"02/05/2017";1;1;4.75;4.79;2;0
"93";"Suivi des lacs";"Léman";"SHL2";"02/05/2017";2.5;2.5;4.76;4.81;1.97;0
"94";"Suivi des lacs";"Léman";"SHL2";"02/05/2017";3.5;3.5;4.94;4.99;2.07;0
"95";"Suivi des lacs";"Léman";"SHL2";"02/05/2017";5;5;5.04;5.09;2.11;0
"96";"Suivi des lacs";"Léman";"SHL2";"02/05/2017";7.5;7.5;4.8;4.85;1.98;0
"97";"Suivi des lacs";"Léman";"SHL2";"02/05/2017";10;10;4.86;4.9;2.01;0
"98";"Suivi des lacs";"Léman";"SHL2";"02/05/2017";15;15;4.4;4.44;1.94;0.09
"99";"Suivi des lacs";"Léman";"SHL2";"02/05/2017";20;20;3.72;3.75;1.69;0.16
"100";"Suivi des lacs";"Léman";"SHL2";"02/05/2017";30;30;1.48;1.5;0.68;0.23
"101";"Suivi des lacs";"Léman";"SHL2";"15/05/2017";0;0;2.28;2.31;1.57;0.19
"102";"Suivi des lacs";"Léman";"SHL2";"15/05/2017";1;1;3.38;3.42;1.92;0.12
"103";"Suivi des lacs";"Léman";"SHL2";"15/05/2017";2.5;2.5;6.57;6.63;3.46;0
"104";"Suivi des lacs";"Léman";"SHL2";"15/05/2017";3.5;3.5;7.65;7.73;4.22;0.22
"105";"Suivi des lacs";"Léman";"SHL2";"15/05/2017";5;5;3.34;3.38;2.04;0.14
"106";"Suivi des lacs";"Léman";"SHL2";"15/05/2017";7.5;7.5;3.4;3.44;2.14;0.23
"107";"Suivi des lacs";"Léman";"SHL2";"15/05/2017";10;10;3.46;3.5;2.06;0.16
"108";"Suivi des lacs";"Léman";"SHL2";"15/05/2017";15;15;3.79;3.83;2.29;0.13
"109";"Suivi des lacs";"Léman";"SHL2";"15/05/2017";20;20;6.95;7.04;3.4;0.7
"110";"Suivi des lacs";"Léman";"SHL2";"15/05/2017";30;30;5.92;5.98;2.55;0.65
"111";"Suivi des lacs";"Léman";"SHL2";"01/06/2017";0;0;1.29;1.3;0.46;0
"112";"Suivi des lacs";"Léman";"SHL2";"01/06/2017";1;1;1.67;1.68;0.61;0
"113";"Suivi des lacs";"Léman";"SHL2";"01/06/2017";2.5;2.5;1.9;1.92;0.67;0
"114";"Suivi des lacs";"Léman";"SHL2";"01/06/2017";3.5;3.5;1.94;1.96;0.7;0
"115";"Suivi des lacs";"Léman";"SHL2";"01/06/2017";5;5;1.89;1.91;0.74;0
"116";"Suivi des lacs";"Léman";"SHL2";"01/06/2017";7.5;7.5;2.84;2.87;0.98;0
"117";"Suivi des lacs";"Léman";"SHL2";"01/06/2017";10;10;4.59;4.64;1.5;0
"118";"Suivi des lacs";"Léman";"SHL2";"01/06/2017";15;15;6.35;6.41;2.79;0.15
"119";"Suivi des lacs";"Léman";"SHL2";"01/06/2017";20;20;4.61;4.66;1.85;0.38
"120";"Suivi des lacs";"Léman";"SHL2";"01/06/2017";30;30;2.16;2.19;0.96;0.31
"121";"Suivi des lacs";"Léman";"SHL2";"20/06/2017";0;0;0.71;0.72;0.26;0
"122";"Suivi des lacs";"Léman";"SHL2";"20/06/2017";1;1;1.23;1.25;0.41;0
"123";"Suivi des lacs";"Léman";"SHL2";"20/06/2017";2.5;2.5;1.33;1.34;0.48;0
"124";"Suivi des lacs";"Léman";"SHL2";"20/06/2017";3.5;3.5;1.61;1.62;0.55;0
"125";"Suivi des lacs";"Léman";"SHL2";"20/06/2017";5;5;1.7;1.71;0.66;0
"126";"Suivi des lacs";"Léman";"SHL2";"20/06/2017";7.5;7.5;1.69;1.7;0.62;0
"127";"Suivi des lacs";"Léman";"SHL2";"20/06/2017";10;10;1.94;1.96;0.62;0
"128";"Suivi des lacs";"Léman";"SHL2";"20/06/2017";15;15;3.46;3.5;1.06;0.01
"129";"Suivi des lacs";"Léman";"SHL2";"20/06/2017";20;20;5.9;5.97;2.51;0.39
"130";"Suivi des lacs";"Léman";"SHL2";"20/06/2017";30;30;3.07;3.1;1.47;0.52
"131";"Suivi des lacs";"Léman";"SHL2";"04/07/2017";0;0;1.03;1.04;0.43;0
"132";"Suivi des lacs";"Léman";"SHL2";"04/07/2017";1;1;1.51;1.52;0.49;0
"133";"Suivi des lacs";"Léman";"SHL2";"04/07/2017";2.5;2.5;1.64;1.65;0.58;0
"134";"Suivi des lacs";"Léman";"SHL2";"04/07/2017";3.5;3.5;2.17;2.19;0.83;0
"135";"Suivi des lacs";"Léman";"SHL2";"04/07/2017";5;5;2.11;2.13;0.79;0.01
"136";"Suivi des lacs";"Léman";"SHL2";"04/07/2017";7.5;7.5;2.19;2.21;0.79;0
"137";"Suivi des lacs";"Léman";"SHL2";"04/07/2017";10;10;2.1;2.12;0.71;0.07
"138";"Suivi des lacs";"Léman";"SHL2";"04/07/2017";15;15;2.73;2.76;0.84;0.05
"139";"Suivi des lacs";"Léman";"SHL2";"04/07/2017";20;20;3.54;3.59;1.2;0.03
"140";"Suivi des lacs";"Léman";"SHL2";"04/07/2017";30;30;1.96;1.98;0.66;0.15
"141";"Suivi des lacs";"Léman";"SHL2";"18/07/2017";0;0;0.71;0.72;0.26;0
"142";"Suivi des lacs";"Léman";"SHL2";"18/07/2017";1;1;1.23;1.25;0.41;0
"143";"Suivi des lacs";"Léman";"SHL2";"18/07/2017";2.5;2.5;1.33;1.34;0.48;0
"144";"Suivi des lacs";"Léman";"SHL2";"18/07/2017";3.5;3.5;1.61;1.62;0.55;0
"145";"Suivi des lacs";"Léman";"SHL2";"18/07/2017";5;5;1.7;1.71;0.66;0
"146";"Suivi des lacs";"Léman";"SHL2";"18/07/2017";7.5;7.5;1.69;1.7;0.62;0
"147";"Suivi des lacs";"Léman";"SHL2";"18/07/2017";10;10;1.94;1.96;0.62;0
"148";"Suivi des lacs";"Léman";"SHL2";"18/07/2017";15;15;3.46;3.5;1.06;0.01
"149";"Suivi des lacs";"Léman";"SHL2";"18/07/2017";20;20;5.9;5.97;2.51;0.39
"150";"Suivi des lacs";"Léman";"SHL2";"18/07/2017";30;30;3.07;3.1;1.47;0.52
"151";"Suivi des lacs";"Léman";"SHL2";"09/08/2017";0;0;2.44;2.46;0.72;0
"152";"Suivi des lacs";"Léman";"SHL2";"09/08/2017";1;1;3.29;3.32;1;0
"153";"Suivi des lacs";"Léman";"SHL2";"09/08/2017";2.5;2.5;4.26;4.3;1.35;0
"154";"Suivi des lacs";"Léman";"SHL2";"09/08/2017";3.5;3.5;4.53;4.57;1.5;0
"155";"Suivi des lacs";"Léman";"SHL2";"09/08/2017";5;5;5.01;5.06;1.75;0
"156";"Suivi des lacs";"Léman";"SHL2";"09/08/2017";7.5;7.5;5.25;5.3;1.74;0.01
"157";"Suivi des lacs";"Léman";"SHL2";"09/08/2017";10;10;4.34;4.38;1.26;0.03
"158";"Suivi des lacs";"Léman";"SHL2";"09/08/2017";15;15;3.26;3.3;0.87;0.26
"159";"Suivi des lacs";"Léman";"SHL2";"09/08/2017";20;20;2.62;2.65;0.72;0.33
"160";"Suivi des lacs";"Léman";"SHL2";"09/08/2017";30;30;2.24;2.27;0.59;0.28
"161";"Suivi des lacs";"Léman";"SHL2";"22/08/2017";0;0;2.56;2.59;0.8;0
"162";"Suivi des lacs";"Léman";"SHL2";"22/08/2017";1;1;3.18;3.21;1.1;0
"163";"Suivi des lacs";"Léman";"SHL2";"22/08/2017";2.5;2.5;3.29;3.32;1.14;0
"164";"Suivi des lacs";"Léman";"SHL2";"22/08/2017";3.5;3.5;3.53;3.56;1.21;0.01
"165";"Suivi des lacs";"Léman";"SHL2";"22/08/2017";5;5;3.78;3.82;1.4;0.04
"166";"Suivi des lacs";"Léman";"SHL2";"22/08/2017";7.5;7.5;3.97;4.01;1.39;0.09
"167";"Suivi des lacs";"Léman";"SHL2";"22/08/2017";10;10;5.47;5.52;1.55;0.38
"168";"Suivi des lacs";"Léman";"SHL2";"22/08/2017";15;15;3.57;3.61;1.4;0.41
"169";"Suivi des lacs";"Léman";"SHL2";"22/08/2017";20;20;2.26;2.28;0.76;0.29
"170";"Suivi des lacs";"Léman";"SHL2";"22/08/2017";30;30;1.55;1.57;0.5;0.26
"171";"Suivi des lacs";"Léman";"SHL2";"04/09/2017";0;0;0.72;0.73;0.22;0.16
"172";"Suivi des lacs";"Léman";"SHL2";"04/09/2017";1;1;2.09;2.11;1.1;0.34
"173";"Suivi des lacs";"Léman";"SHL2";"04/09/2017";2.5;2.5;9.4;9.49;1.97;0.2
"174";"Suivi des lacs";"Léman";"SHL2";"04/09/2017";3.5;3.5;4.69;4.74;1.78;0.37
"175";"Suivi des lacs";"Léman";"SHL2";"04/09/2017";5;5;2.55;2.58;1.01;0.07
"176";"Suivi des lacs";"Léman";"SHL2";"04/09/2017";7.5;7.5;2.67;2.69;1.27;0.05
"177";"Suivi des lacs";"Léman";"SHL2";"04/09/2017";10;10;2.8;2.83;1.13;0.04
"178";"Suivi des lacs";"Léman";"SHL2";"04/09/2017";15;15;2.76;2.79;1.12;0.04
"179";"Suivi des lacs";"Léman";"SHL2";"04/09/2017";20;20;2.66;2.68;1.05;0.03
"180";"Suivi des lacs";"Léman";"SHL2";"04/09/2017";30;30;2.58;2.61;0.98;0.05
"181";"Suivi des lacs";"Léman";"SHL2";"25/09/2017";0;0;2.5;2.52;0.77;0
"182";"Suivi des lacs";"Léman";"SHL2";"25/09/2017";1;1;3.05;3.08;1.04;0
"183";"Suivi des lacs";"Léman";"SHL2";"25/09/2017";2.5;2.5;3.34;3.37;1.21;0
"184";"Suivi des lacs";"Léman";"SHL2";"25/09/2017";3.5;3.5;3.23;3.26;1.13;0.01
"185";"Suivi des lacs";"Léman";"SHL2";"25/09/2017";5;5;3.28;3.31;1.08;0.07
"186";"Suivi des lacs";"Léman";"SHL2";"25/09/2017";7.5;7.5;3.59;3.62;1.16;0.05
"187";"Suivi des lacs";"Léman";"SHL2";"25/09/2017";10;10;3.51;3.55;1.23;0.07
"188";"Suivi des lacs";"Léman";"SHL2";"25/09/2017";15;15;3.78;3.82;1.14;0.09
"189";"Suivi des lacs";"Léman";"SHL2";"25/09/2017";20;20;5.14;5.19;1.27;0.13
"190";"Suivi des lacs";"Léman";"SHL2";"25/09/2017";30;30;1.35;1.36;0.4;0.18
"191";"Suivi des lacs";"Léman";"SHL2";"09/10/2017";0;0;2.42;2.44;0.82;0.06
"192";"Suivi des lacs";"Léman";"SHL2";"09/10/2017";1;1;2.71;2.73;0.85;0.07
"193";"Suivi des lacs";"Léman";"SHL2";"09/10/2017";2.5;2.5;2.9;2.93;1;0.08
"194";"Suivi des lacs";"Léman";"SHL2";"09/10/2017";3.5;3.5;3;3.03;1.03;0.07
"195";"Suivi des lacs";"Léman";"SHL2";"09/10/2017";5;5;2.78;2.8;0.97;0.11
"196";"Suivi des lacs";"Léman";"SHL2";"09/10/2017";7.5;7.5;2.88;2.91;0.97;0.08
"197";"Suivi des lacs";"Léman";"SHL2";"09/10/2017";10;10;2.99;3.02;1.02;0.06
"198";"Suivi des lacs";"Léman";"SHL2";"09/10/2017";15;15;3;3.02;1.13;0.08
"199";"Suivi des lacs";"Léman";"SHL2";"09/10/2017";20;20;4.84;4.89;1.31;0.53
"200";"Suivi des lacs";"Léman";"SHL2";"09/10/2017";30;30;1.45;1.47;0.67;0.19
"201";"Suivi des lacs";"Léman";"SHL2";"24/10/2017";0;0;2.5;2.53;0.93;0.08
"202";"Suivi des lacs";"Léman";"SHL2";"24/10/2017";1;1;2.72;2.75;0.89;0.08
"203";"Suivi des lacs";"Léman";"SHL2";"24/10/2017";2.5;2.5;2.66;2.68;1.02;0.08
"204";"Suivi des lacs";"Léman";"SHL2";"24/10/2017";3.5;3.5;2.66;2.69;1.02;0.09
"205";"Suivi des lacs";"Léman";"SHL2";"24/10/2017";5;5;2.71;2.74;1.01;0.07
