nom du projet;nom du site;nom de la plateforme;date prelevement;profondeur min réelle observée (m);profondeur max réelle observée (m);chlorophylle a strickland-parsons (µg/l);chlorophylle a scor-unesco (µg/l)
Suivi des lacs;Léman;SHL2;28/05/2018;3.5;3.5;;8.99
Suivi des lacs;Léman;SHL2;28/05/2018;5.0;5.0;;9.3
Suivi des lacs;Léman;SHL2;28/05/2018;7.5;7.5;;11
Suivi des lacs;Léman;SHL2;28/05/2018;10.0;10.0;;8.67
Suivi des lacs;Léman;SHL2;28/05/2018;15.0;15.0;;4.13
Suivi des lacs;Léman;SHL2;28/05/2018;20.0;20.0;;2.54
Suivi des lacs;Léman;SHL2;28/05/2018;30.0;30.0;;1.43
Suivi des lacs;Léman;SHL2;12/06/2018;0.0;0.0;;3.75
Suivi des lacs;Léman;SHL2;12/06/2018;1.0;1.0;;5.52
Suivi des lacs;Léman;SHL2;12/06/2018;2.5;2.5;;5.47
Suivi des lacs;Léman;SHL2;12/06/2018;3.5;3.5;;6.51
Suivi des lacs;Léman;SHL2;12/06/2018;5.0;5.0;;4.8
Suivi des lacs;Léman;SHL2;12/06/2018;7.5;7.5;;6.15
Suivi des lacs;Léman;SHL2;12/06/2018;10.0;10.0;;13.13
Suivi des lacs;Léman;SHL2;12/06/2018;15.0;15.0;;16.21
Suivi des lacs;Léman;SHL2;12/06/2018;20.0;20.0;;11.55
Suivi des lacs;Léman;SHL2;12/06/2018;30.0;30.0;;2.65
Suivi des lacs;Léman;SHL2;02/07/2018;0.0;0.0;;2.92
Suivi des lacs;Léman;SHL2;02/07/2018;1.0;1.0;;4.51
Suivi des lacs;Léman;SHL2;02/07/2018;2.5;2.5;;6.04
Suivi des lacs;Léman;SHL2;02/07/2018;3.5;3.5;;6.14
Suivi des lacs;Léman;SHL2;02/07/2018;5.0;5.0;;6.38
Suivi des lacs;Léman;SHL2;02/07/2018;7.5;7.5;;5.62
Suivi des lacs;Léman;SHL2;02/07/2018;10.0;10.0;;4.63
Suivi des lacs;Léman;SHL2;02/07/2018;15.0;15.0;;3.46
Suivi des lacs;Léman;SHL2;02/07/2018;20.0;20.0;;2.43
Suivi des lacs;Léman;SHL2;02/07/2018;30.0;30.0;;1.91
Suivi des lacs;Léman;SHL2;17/07/2018;0.0;0.0;;2.08
Suivi des lacs;Léman;SHL2;17/07/2018;1.0;1.0;;2.85
Suivi des lacs;Léman;SHL2;17/07/2018;2.5;2.5;;3.52
Suivi des lacs;Léman;SHL2;17/07/2018;3.5;3.5;;3.99
Suivi des lacs;Léman;SHL2;17/07/2018;5.0;5.0;;3.85
Suivi des lacs;Léman;SHL2;17/07/2018;7.5;7.5;;5.46
Suivi des lacs;Léman;SHL2;17/07/2018;10.0;10.0;;8.36
Suivi des lacs;Léman;SHL2;17/07/2018;15.0;15.0;;7.11
Suivi des lacs;Léman;SHL2;17/07/2018;20.0;20.0;;2.93
Suivi des lacs;Léman;SHL2;17/07/2018;30.0;30.0;;1.41
Suivi des lacs;Léman;SHL2;30/07/2018;0.0;0.0;;1.98
Suivi des lacs;Léman;SHL2;30/07/2018;1.0;1.0;;2.39
Suivi des lacs;Léman;SHL2;30/07/2018;2.5;2.5;;2.88
Suivi des lacs;Léman;SHL2;30/07/2018;3.5;3.5;;2.89
Suivi des lacs;Léman;SHL2;30/07/2018;5.0;5.0;;4.82
Suivi des lacs;Léman;SHL2;30/07/2018;7.5;7.5;;7.43
Suivi des lacs;Léman;SHL2;30/07/2018;10.0;10.0;;6.76
Suivi des lacs;Léman;SHL2;30/07/2018;15.0;15.0;;6.1
Suivi des lacs;Léman;SHL2;30/07/2018;20.0;20.0;;3.06
Suivi des lacs;Léman;SHL2;30/07/2018;30.0;30.0;;1.38
Suivi des lacs;Léman;SHL2;22/08/2018;0.0;0.0;;3.08
Suivi des lacs;Léman;SHL2;22/08/2018;1.0;1.0;;3.04
Suivi des lacs;Léman;SHL2;22/08/2018;2.5;2.5;;4.39
Suivi des lacs;Léman;SHL2;22/08/2018;3.5;3.5;;4.9
Suivi des lacs;Léman;SHL2;22/08/2018;5.0;5.0;;3.8
Suivi des lacs;Léman;SHL2;22/08/2018;7.5;7.5;;5.54
Suivi des lacs;Léman;SHL2;22/08/2018;10.0;10.0;;14.89
Suivi des lacs;Léman;SHL2;22/08/2018;15.0;15.0;;12.18
Suivi des lacs;Léman;SHL2;22/08/2018;20.0;20.0;;4.44
Suivi des lacs;Léman;SHL2;22/08/2018;30.0;30.0;;1.4
Suivi des lacs;Léman;SHL2;12/09/2018;0.0;0.0;;1.98
Suivi des lacs;Léman;SHL2;12/09/2018;1.0;1.0;;2.39
Suivi des lacs;Léman;SHL2;12/09/2018;2.5;2.5;;2.88
Suivi des lacs;Léman;SHL2;12/09/2018;3.5;3.5;;2.89
Suivi des lacs;Léman;SHL2;12/09/2018;5.0;5.0;;7.23
Suivi des lacs;Léman;SHL2;12/09/2018;7.5;7.5;;10.41
Suivi des lacs;Léman;SHL2;12/09/2018;10.0;10.0;;7.78
Suivi des lacs;Léman;SHL2;12/09/2018;15.0;15.0;;0.57
Suivi des lacs;Léman;SHL2;12/09/2018;20.0;20.0;;3.06
Suivi des lacs;Léman;SHL2;12/09/2018;30.0;30.0;;1.38
Suivi des lacs;Léman;SHL2;26/09/2018;0.0;0.0;;7.51
Suivi des lacs;Léman;SHL2;26/09/2018;1.0;1.0;;7.2
Suivi des lacs;Léman;SHL2;26/09/2018;2.5;2.5;;9.1
Suivi des lacs;Léman;SHL2;26/09/2018;3.5;3.5;;11.26
Suivi des lacs;Léman;SHL2;26/09/2018;5.0;5.0;;8.81
Suivi des lacs;Léman;SHL2;26/09/2018;7.5;7.5;;7.21
Suivi des lacs;Léman;SHL2;26/09/2018;10.0;10.0;;5.6
Suivi des lacs;Léman;SHL2;26/09/2018;15.0;15.0;;2.41
Suivi des lacs;Léman;SHL2;26/09/2018;20.0;20.0;;1.51
Suivi des lacs;Léman;SHL2;26/09/2018;30.0;30.0;;0.67
Suivi des lacs;Léman;SHL2;09/10/2018;0.0;0.0;;4.02
Suivi des lacs;Léman;SHL2;09/10/2018;1.0;1.0;;4.17
Suivi des lacs;Léman;SHL2;09/10/2018;2.5;2.5;;4.71
Suivi des lacs;Léman;SHL2;09/10/2018;3.5;3.5;;4.16
Suivi des lacs;Léman;SHL2;09/10/2018;5.0;5.0;;4.55
Suivi des lacs;Léman;SHL2;09/10/2018;7.5;7.5;;3.8
Suivi des lacs;Léman;SHL2;09/10/2018;10.0;10.0;;3.42
Suivi des lacs;Léman;SHL2;09/10/2018;15.0;15.0;;2.74
Suivi des lacs;Léman;SHL2;09/10/2018;20.0;20.0;;2.09
Suivi des lacs;Léman;SHL2;09/10/2018;30.0;30.0;;1.1
Suivi des lacs;Léman;SHL2;24/10/2018;0.0;0.0;;2.45
Suivi des lacs;Léman;SHL2;24/10/2018;2.5;2.5;;3.25
Suivi des lacs;Léman;SHL2;24/10/2018;5.0;5.0;;3.31
Suivi des lacs;Léman;SHL2;24/10/2018;7.5;7.5;;3.24
Suivi des lacs;Léman;SHL2;24/10/2018;10.0;10.0;;2.79
Suivi des lacs;Léman;SHL2;24/10/2018;15.0;15.0;;1.32
Suivi des lacs;Léman;SHL2;24/10/2018;20.0;20.0;;0.96
Suivi des lacs;Léman;SHL2;24/10/2018;30.0;30.0;;0.38
Suivi des lacs;Léman;SHL2;12/11/2018;0.0;0.0;;3.55
Suivi des lacs;Léman;SHL2;12/11/2018;1.0;1.0;;4.3
Suivi des lacs;Léman;SHL2;12/11/2018;2.5;2.5;;4.57
Suivi des lacs;Léman;SHL2;12/11/2018;3.5;3.5;;4.58
Suivi des lacs;Léman;SHL2;12/11/2018;5.0;5.0;;4.19
Suivi des lacs;Léman;SHL2;12/11/2018;7.5;7.5;;3.62
Suivi des lacs;Léman;SHL2;12/11/2018;10.0;10.0;;3.84
Suivi des lacs;Léman;SHL2;12/11/2018;15.0;15.0;;3.06
Suivi des lacs;Léman;SHL2;12/11/2018;20.0;20.0;;1.29
Suivi des lacs;Léman;SHL2;12/11/2018;30.0;30.0;;0.45
Suivi des lacs;Léman;SHL2;28/11/2018;0.0;0.0;;1.2
Suivi des lacs;Léman;SHL2;28/11/2018;1.0;1.0;;1.02
Suivi des lacs;Léman;SHL2;28/11/2018;2.5;2.5;;1.22
Suivi des lacs;Léman;SHL2;28/11/2018;3.5;3.5;;3.13
Suivi des lacs;Léman;SHL2;28/11/2018;5.0;5.0;;3.33
Suivi des lacs;Léman;SHL2;28/11/2018;7.5;7.5;;3.53
Suivi des lacs;Léman;SHL2;28/11/2018;10.0;10.0;;3.36
Suivi des lacs;Léman;SHL2;28/11/2018;15.0;15.0;;1.03
Suivi des lacs;Léman;SHL2;28/11/2018;20.0;20.0;;0.63
Suivi des lacs;Léman;SHL2;28/11/2018;30.0;30.0;;0.21
Suivi des lacs;Léman;SHL2;18/12/2018;0.0;0.0;;2.9
Suivi des lacs;Léman;SHL2;18/12/2018;2.5;2.5;;2.84
Suivi des lacs;Léman;SHL2;18/12/2018;5.0;5.0;;3.1
Suivi des lacs;Léman;SHL2;18/12/2018;7.5;7.5;;2.75
Suivi des lacs;Léman;SHL2;18/12/2018;10.0;10.0;;2.78
Suivi des lacs;Léman;SHL2;18/12/2018;15.0;15.0;;2.75
Suivi des lacs;Léman;SHL2;18/12/2018;20.0;20.0;;2.63
Suivi des lacs;Léman;SHL2;18/12/2018;30.0;30.0;;1
Suivi des lacs;Léman;SHL2;14/02/2019;0.0;0.0;;1.32
Suivi des lacs;Léman;SHL2;14/02/2019;1.0;1.0;;1.545
Suivi des lacs;Léman;SHL2;14/02/2019;2.5;2.5;;1.732
Suivi des lacs;Léman;SHL2;14/02/2019;3.5;3.5;;2.011
Suivi des lacs;Léman;SHL2;14/02/2019;5.0;5.0;;2.011
Suivi des lacs;Léman;SHL2;14/02/2019;7.5;7.5;;2.02
Suivi des lacs;Léman;SHL2;14/02/2019;10.0;10.0;;1.893
Suivi des lacs;Léman;SHL2;14/02/2019;15.0;15.0;;1.96
Suivi des lacs;Léman;SHL2;14/02/2019;20.0;20.0;;1.852
Suivi des lacs;Léman;SHL2;14/02/2019;30.0;30.0;;1.898
Suivi des lacs;Léman;SHL2;06/03/2019;0.0;0.0;;4.127
Suivi des lacs;Léman;SHL2;06/03/2019;1.0;1.0;;4.337
Suivi des lacs;Léman;SHL2;06/03/2019;2.5;2.5;;4.647
Suivi des lacs;Léman;SHL2;06/03/2019;3.5;3.5;;4.992
Suivi des lacs;Léman;SHL2;06/03/2019;5.0;5.0;;5.082
Suivi des lacs;Léman;SHL2;06/03/2019;7.5;7.5;;5.008
Suivi des lacs;Léman;SHL2;06/03/2019;10.0;10.0;;4.886
Suivi des lacs;Léman;SHL2;06/03/2019;15.0;15.0;;4.674
Suivi des lacs;Léman;SHL2;06/03/2019;20.0;20.0;;4.077
Suivi des lacs;Léman;SHL2;06/03/2019;30.0;30.0;;4.269
Suivi des lacs;Léman;SHL2;21/03/2019;0.0;0.0;;2.631
Suivi des lacs;Léman;SHL2;21/03/2019;1.0;1.0;;3.109
Suivi des lacs;Léman;SHL2;21/03/2019;2.5;2.5;;3.547
Suivi des lacs;Léman;SHL2;21/03/2019;3.5;3.5;;3.652
Suivi des lacs;Léman;SHL2;21/03/2019;5.0;5.0;;3.306
Suivi des lacs;Léman;SHL2;21/03/2019;7.5;7.5;;3.358
Suivi des lacs;Léman;SHL2;21/03/2019;10.0;10.0;;3.743
Suivi des lacs;Léman;SHL2;21/03/2019;15.0;15.0;;3.332
Suivi des lacs;Léman;SHL2;21/03/2019;20.0;20.0;;3.212
Suivi des lacs;Léman;SHL2;21/03/2019;30.0;30.0;;2.631
Suivi des lacs;Léman;SHL2;01/04/2019;0.0;0.0;;2.102
Suivi des lacs;Léman;SHL2;01/04/2019;1.0;1.0;;6.268
Suivi des lacs;Léman;SHL2;01/04/2019;2.5;2.5;;5.232
Suivi des lacs;Léman;SHL2;01/04/2019;3.5;3.5;;4.289
Suivi des lacs;Léman;SHL2;01/04/2019;5.0;5.0;;4.032
Suivi des lacs;Léman;SHL2;01/04/2019;7.5;7.5;;4.007
Suivi des lacs;Léman;SHL2;01/04/2019;10.0;10.0;;4.078
Suivi des lacs;Léman;SHL2;01/04/2019;15.0;15.0;;4.343
Suivi des lacs;Léman;SHL2;01/04/2019;20.0;20.0;;4.018
Suivi des lacs;Léman;SHL2;01/04/2019;30.0;30.0;;2.929
Suivi des lacs;Léman;SHL2;23/04/2019;0.0;0.0;;1.922
Suivi des lacs;Léman;SHL2;23/04/2019;1.0;1.0;;2.002
Suivi des lacs;Léman;SHL2;23/04/2019;2.5;2.5;;2.6
Suivi des lacs;Léman;SHL2;23/04/2019;3.5;3.5;;3.471
Suivi des lacs;Léman;SHL2;23/04/2019;5.0;5.0;;3.5
Suivi des lacs;Léman;SHL2;23/04/2019;7.5;7.5;;5.5
Suivi des lacs;Léman;SHL2;23/04/2019;10.0;10.0;;7.006
Suivi des lacs;Léman;SHL2;23/04/2019;15.0;15.0;;7.152
Suivi des lacs;Léman;SHL2;23/04/2019;20.0;20.0;;5.556
Suivi des lacs;Léman;SHL2;23/04/2019;30.0;30.0;;3.165
Suivi des lacs;Léman;SHL2;20/05/2019;0.0;0.0;;1.899
Suivi des lacs;Léman;SHL2;20/05/2019;1.0;1.0;;3.573
Suivi des lacs;Léman;SHL2;20/05/2019;2.5;2.5;;3.628
Suivi des lacs;Léman;SHL2;20/05/2019;3.5;3.5;;3.772
Suivi des lacs;Léman;SHL2;20/05/2019;5.0;5.0;;2.889
Suivi des lacs;Léman;SHL2;20/05/2019;7.5;7.5;;2.721
Suivi des lacs;Léman;SHL2;20/05/2019;10.0;10.0;;2.197
Suivi des lacs;Léman;SHL2;20/05/2019;15.0;15.0;;1.579
Suivi des lacs;Léman;SHL2;20/05/2019;20.0;20.0;;1.297
Suivi des lacs;Léman;SHL2;20/05/2019;30.0;30.0;;1.071
Suivi des lacs;Léman;SHL2;03/06/2019;0.0;0.0;;0.767
Suivi des lacs;Léman;SHL2;03/06/2019;1.0;1.0;;1.031
Suivi des lacs;Léman;SHL2;03/06/2019;2.5;2.5;;1.368
Suivi des lacs;Léman;SHL2;03/06/2019;3.5;3.5;;4.124
Suivi des lacs;Léman;SHL2;03/06/2019;5.0;5.0;;4.138
Suivi des lacs;Léman;SHL2;03/06/2019;7.5;7.5;;4.475
Suivi des lacs;Léman;SHL2;03/06/2019;10.0;10.0;;5.333
Suivi des lacs;Léman;SHL2;03/06/2019;15.0;15.0;;4.7
Suivi des lacs;Léman;SHL2;03/06/2019;20.0;20.0;;5.868
Suivi des lacs;Léman;SHL2;03/06/2019;30.0;30.0;;2.453
Suivi des lacs;Léman;SHL2;26/06/2019;0.0;0.0;;1.514
Suivi des lacs;Léman;SHL2;26/06/2019;1.0;1.0;;2.025
Suivi des lacs;Léman;SHL2;26/06/2019;2.5;2.5;;3.928
Suivi des lacs;Léman;SHL2;26/06/2019;3.5;3.5;;4.39
Suivi des lacs;Léman;SHL2;26/06/2019;5.0;5.0;;6.471
Suivi des lacs;Léman;SHL2;26/06/2019;7.5;7.5;;10.153
Suivi des lacs;Léman;SHL2;26/06/2019;10.0;10.0;;12.699
Suivi des lacs;Léman;SHL2;26/06/2019;15.0;15.0;;5.454
Suivi des lacs;Léman;SHL2;26/06/2019;20.0;20.0;;5.498
Suivi des lacs;Léman;SHL2;26/06/2019;30.0;30.0;;3.312
Suivi des lacs;Léman;SHL2;11/07/2019;0.0;0.0;;2.516
Suivi des lacs;Léman;SHL2;11/07/2019;1.0;1.0;;2.7
Suivi des lacs;Léman;SHL2;11/07/2019;2.5;2.5;;2.677
Suivi des lacs;Léman;SHL2;11/07/2019;3.5;3.5;;2.854
Suivi des lacs;Léman;SHL2;11/07/2019;5.0;5.0;;4.062
Suivi des lacs;Léman;SHL2;11/07/2019;7.5;7.5;;6.053
Suivi des lacs;Léman;SHL2;11/07/2019;10.0;10.0;;5.159
Suivi des lacs;Léman;SHL2;11/07/2019;15.0;15.0;;2.864
Suivi des lacs;Léman;SHL2;11/07/2019;20.0;20.0;;3.895
Suivi des lacs;Léman;SHL2;11/07/2019;30.0;30.0;;1.387
Suivi des lacs;Léman;SHL2;24/07/2019;0.0;0.0;;1.59
Suivi des lacs;Léman;SHL2;24/07/2019;1.0;1.0;;3.855
Suivi des lacs;Léman;SHL2;24/07/2019;2.5;2.5;;7.374
Suivi des lacs;Léman;SHL2;24/07/2019;3.5;3.5;;4.494
Suivi des lacs;Léman;SHL2;24/07/2019;5.0;5.0;;4.759
Suivi des lacs;Léman;SHL2;24/07/2019;7.5;7.5;;5.65
Suivi des lacs;Léman;SHL2;24/07/2019;10.0;10.0;;4.977
Suivi des lacs;Léman;SHL2;24/07/2019;15.0;15.0;;5.977
Suivi des lacs;Léman;SHL2;24/07/2019;20.0;20.0;;6.879
Suivi des lacs;Léman;SHL2;24/07/2019;30.0;30.0;;2.373
Suivi des lacs;Léman;SHL2;05/08/2019;0.0;0.0;;0.696
Suivi des lacs;Léman;SHL2;05/08/2019;1.0;1.0;;1.371
Suivi des lacs;Léman;SHL2;05/08/2019;2.5;2.5;;1.7
Suivi des lacs;Léman;SHL2;05/08/2019;3.5;3.5;;1.987
Suivi des lacs;Léman;SHL2;05/08/2019;5.0;5.0;;2.183
Suivi des lacs;Léman;SHL2;05/08/2019;7.5;7.5;;4.404
Suivi des lacs;Léman;SHL2;05/08/2019;10.0;10.0;;3.088
Suivi des lacs;Léman;SHL2;05/08/2019;15.0;15.0;;8.779
Suivi des lacs;Léman;SHL2;05/08/2019;20.0;20.0;;8.505
Suivi des lacs;Léman;SHL2;05/08/2019;30.0;30.0;;1.902
Suivi des lacs;Léman;SHL2;04/09/2019;0.0;0.0;;2.61
Suivi des lacs;Léman;SHL2;04/09/2019;2.5;2.5;;2.756
Suivi des lacs;Léman;SHL2;04/09/2019;3.5;3.5;;2.551
Suivi des lacs;Léman;SHL2;04/09/2019;5.0;5.0;;2.735
Suivi des lacs;Léman;SHL2;04/09/2019;7.5;7.5;;3.373
Suivi des lacs;Léman;SHL2;04/09/2019;10.0;10.0;;3.853
Suivi des lacs;Léman;SHL2;04/09/2019;15.0;15.0;;1.746
Suivi des lacs;Léman;SHL2;04/09/2019;20.0;20.0;;1.295
Suivi des lacs;Léman;SHL2;04/09/2019;30.0;30.0;;1.5
Suivi des lacs;Léman;SHL2;11/09/2019;0.0;0.0;;1.339
Suivi des lacs;Léman;SHL2;11/09/2019;1.0;1.0;;1.369
Suivi des lacs;Léman;SHL2;11/09/2019;2.5;2.5;;1.313
Suivi des lacs;Léman;SHL2;11/09/2019;3.5;3.5;;1.184
Suivi des lacs;Léman;SHL2;11/09/2019;5.0;5.0;;1.988
Suivi des lacs;Léman;SHL2;11/09/2019;7.5;7.5;;2.122
Suivi des lacs;Léman;SHL2;11/09/2019;10.0;10.0;;2.471
Suivi des lacs;Léman;SHL2;11/09/2019;15.0;15.0;;5.008
Suivi des lacs;Léman;SHL2;11/09/2019;20.0;20.0;;5.595
Suivi des lacs;Léman;SHL2;11/09/2019;30.0;30.0;;1.217
Suivi des lacs;Léman;SHL2;24/09/2019;0.0;0.0;;1.671
Suivi des lacs;Léman;SHL2;24/09/2019;1.0;1.0;;1.805
Suivi des lacs;Léman;SHL2;24/09/2019;2.5;2.5;;1.735
Suivi des lacs;Léman;SHL2;24/09/2019;3.5;3.5;;1.776
Suivi des lacs;Léman;SHL2;24/09/2019;5.0;5.0;;1.78
Suivi des lacs;Léman;SHL2;24/09/2019;7.5;7.5;;1.617
Suivi des lacs;Léman;SHL2;24/09/2019;10.0;10.0;;1.67
Suivi des lacs;Léman;SHL2;24/09/2019;15.0;15.0;;5.731
Suivi des lacs;Léman;SHL2;24/09/2019;20.0;20.0;;4.03
Suivi des lacs;Léman;SHL2;24/09/2019;30.0;30.0;;1.053
Suivi des lacs;Léman;SHL2;14/10/2019;0.0;0.0;;2.712
Suivi des lacs;Léman;SHL2;14/10/2019;1.0;1.0;;3
Suivi des lacs;Léman;SHL2;14/10/2019;2.5;2.5;;3.438
Suivi des lacs;Léman;SHL2;14/10/2019;3.5;3.5;;3.606
Suivi des lacs;Léman;SHL2;14/10/2019;5.0;5.0;;3.45
Suivi des lacs;Léman;SHL2;14/10/2019;7.5;7.5;;3.422
Suivi des lacs;Léman;SHL2;14/10/2019;10.0;10.0;;3.706
Suivi des lacs;Léman;SHL2;14/10/2019;15.0;15.0;;3.87
Suivi des lacs;Léman;SHL2;14/10/2019;20.0;20.0;;3.656
Suivi des lacs;Léman;SHL2;14/10/2019;30.0;30.0;;1.574
Suivi des lacs;Léman;SHL2;28/10/2019;0.0;0.0;;5.265
Suivi des lacs;Léman;SHL2;28/10/2019;1.0;1.0;;5.604
Suivi des lacs;Léman;SHL2;28/10/2019;2.5;2.5;;5.328
Suivi des lacs;Léman;SHL2;28/10/2019;3.5;3.5;;5.256
Suivi des lacs;Léman;SHL2;28/10/2019;5.0;5.0;;4.98
Suivi des lacs;Léman;SHL2;28/10/2019;7.5;7.5;;4.841
Suivi des lacs;Léman;SHL2;28/10/2019;10.0;10.0;;4.503
Suivi des lacs;Léman;SHL2;28/10/2019;15.0;15.0;;2.33
Suivi des lacs;Léman;SHL2;28/10/2019;20.0;20.0;;1.655
Suivi des lacs;Léman;SHL2;28/10/2019;30.0;30.0;;0.577
Suivi des lacs;Léman;SHL2;13/11/2019;0.0;0.0;;6.35
Suivi des lacs;Léman;SHL2;13/11/2019;1.0;1.0;;7.428
Suivi des lacs;Léman;SHL2;13/11/2019;2.5;2.5;;7.437
Suivi des lacs;Léman;SHL2;13/11/2019;3.5;3.5;;7.606
Suivi des lacs;Léman;SHL2;13/11/2019;5.0;5.0;;7.597
Suivi des lacs;Léman;SHL2;13/11/2019;7.5;7.5;;7.342
Suivi des lacs;Léman;SHL2;13/11/2019;10.0;10.0;;7.244
Suivi des lacs;Léman;SHL2;13/11/2019;15.0;15.0;;7.163
Suivi des lacs;Léman;SHL2;13/11/2019;20.0;20.0;;7.163
Suivi des lacs;Léman;SHL2;13/11/2019;30.0;30.0;;7.003
Suivi des lacs;Léman;SHL2;10/12/2019;0.0;0.0;;6.603
Suivi des lacs;Léman;SHL2;10/12/2019;1.0;1.0;;6.799
Suivi des lacs;Léman;SHL2;10/12/2019;2.5;2.5;;7.114
Suivi des lacs;Léman;SHL2;10/12/2019;3.5;3.5;;7.352
Suivi des lacs;Léman;SHL2;10/12/2019;5.0;5.0;;7.567
Suivi des lacs;Léman;SHL2;10/12/2019;7.5;7.5;;7.616
Suivi des lacs;Léman;SHL2;10/12/2019;10.0;10.0;;7.167
Suivi des lacs;Léman;SHL2;10/12/2019;15.0;15.0;;7.125
Suivi des lacs;Léman;SHL2;10/12/2019;20.0;20.0;;6.932
Suivi des lacs;Léman;SHL2;10/12/2019;30.0;30.0;;5.484
